strategy,seed,net_value,oracle_value_per_customer,retrainings,cate_recovery_step,treatment_recovery_step
window_10,22,-19935.501321611373,-0.809275066080568,15,20.0,23.0
window_10,23,-11161.911597181414,-0.42059557985907,11,19.0,22.0
window_10,24,-32491.504928576593,-1.4245752464288293,16,19.0,23.0
window_10,25,-7930.62574148179,-0.23403128707408946,13,17.0,23.0
window_10,26,-1277.7243962954867,0.11111378018522583,14,18.0,21.0
window_10,27,-10237.599073265237,-0.3243799536632618,15,18.0,21.0
window_10,28,-32064.7952363016,-1.4782397618150807,10,20.0,23.0
window_10,29,-13212.254233380838,-0.5106127116690419,12,18.0,21.0
window_10,3,-15952.92656359126,-0.6601463281795616,11,20.0,23.0
window_10,30,-27652.377951087863,-1.2201188975543935,13,19.0,23.0
window_10,4,-7350.8862556990425,-0.21754431278495226,12,15.0,23.0
window_10,5,-32754.508103920005,-1.4752254051959997,13,20.0,23.0
window_10,6,-47467.97381556495,-2.2608986907782476,9,21.0,25.0
window_10,7,-16589.92708625843,-0.7169963543129214,9,21.0,24.0
window_10,8,418.13787241450154,0.2459068936207246,18,17.0,17.0
window_10,9,-31662.487010381956,-1.4206243505190983,13,19.0,27.0
