step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.03703125,0.21271419232461775,,3.45930932700387,24.701463009713827,-28.196889264336928,35.11550791834467,24.248585096294935,78,8475.871513990634,10.594839392488293,0.08151163197003478,0.10728035817239558,0.25,0.27625,0.0975,False,False,False,8475.871513990634,8475.871513990634
6,treatment,policy_value_confident,profit,0.0305625,0.21287130338499716,0.13308354475114495,6.019958325660013,17.278294195628153,-16.12306665068743,28.162983302007458,20.561737600620305,158,7979.195721546437,9.973994651933047,0.07908602093214663,0.10253513579045893,0.25,0.26375,0.1,False,False,False,7979.195721546437,16455.06723553707
7,treatment,policy_value_confident,profit,0.029812500000000002,0.2057272580325008,0.10227130105703748,-2.6343400782442483,14.750484487731004,-21.53784656603726,16.269166409548767,9.779980872118058,242,8317.994596261558,10.397493245326949,0.08181138756368961,0.10221441830682533,0.25,0.265,0.105,False,False,False,8317.994596261558,24773.06183179863
8,treatment,policy_value_confident,profit,0.03334375,0.21678797659185015,0.108634799427213,-7.002728431877647,15.1204067169014,-26.38030933159373,12.374852467838437,5.722926921325089,240,8038.898155835463,10.048622694794329,0.08041049561942967,0.10708907701973434,0.25,0.2675,0.095,False,False,False,8038.898155835463,32811.959987634094
9,treatment,policy_value_confident,profit,0.029968750000000002,0.2123825903945424,0.1454800023834251,-15.973418567246343,13.809828113200568,-33.67142540562037,1.7245882711276845,-4.350773995184568,240,8553.30303967408,10.6916287995926,0.08109592419364967,0.10357066060031803,0.25,0.27125,0.1,True,True,False,8303.30303967408,41115.263027308174
10,treatment,policy_value_confident,profit,0.058613379396984924,0.223034146615163,0.1115083616315198,-15.334528865249121,10.080021486691011,-28.2525961822412,-2.4164615482570433,-6.850968747178749,252,6184.103970963264,7.73012996370408,0.08371476464738317,0.097032893755827,0.25,0.28625,0.12,True,True,False,5934.103970963264,47049.366998271435
11,treatment,policy_value_confident,profit,0.05217548076923077,0.22298268186948736,0.09456662985140359,-12.430868992624351,8.731956917425356,-23.62132205041882,-1.2404159348298816,-5.08186864027528,250,7611.91372397642,9.514892154970525,0.07804676193120987,0.0675739129574133,0.25,0.2725,0.0925,True,True,False,7361.91372397642,54411.28072224786
12,treatment,policy_value_confident,profit,0.05027057926829268,0.2082091142401147,0.08722686663277814,2.9881638629032983,10.645897296107318,-10.655102483550067,16.63143020935666,11.947977077743694,245,4680.275002892062,5.8503437536150775,0.07807604861177567,0.05125313041559615,0.25,0.27,0.09375,False,False,False,4680.275002892062,59091.55572513992
13,treatment,policy_value_confident,profit,0.04898628048780487,0.2186480472490078,0.10929058945206724,8.695505618301004,13.863334913050984,-9.071072943188605,26.462084179790615,20.363182649257425,223,4696.586975799077,5.870733719748846,0.07959766235785758,0.04837579942889811,0.25,0.26875,0.0925,False,False,False,4696.586975799077,63788.142700939
14,treatment,policy_value_confident,profit,0.04839939024390244,0.20088673944109936,0.1241831476302431,8.274576062206812,12.002904811017869,-7.107765389435956,23.656917513849578,18.37647561571394,235,-9982.619211279613,-12.478274014099515,-0.14436887702593726,0.046813956681819376,0.25,0.26625,0.1075,False,False,False,-9982.619211279613,53805.52348965939
15,treatment,policy_value_confident,profit,0.03803734756097561,0.21154880341107038,0.20069753547426786,-3.2400696288573063,11.213172348660793,-17.610328207004972,11.130188949290359,6.197174315488285,239,-10587.029765034851,-13.233787206293563,-0.14482695236532708,0.05042140301981269,0.25,0.28,0.09875,False,False,False,-10587.029765034851,43218.49372462454
16,treatment,policy_value_confident,profit,0.05276295731707317,0.2084017534068166,0.23798096088668774,1.3522698374131261,9.28128921629809,-10.542180888005909,13.246720562832163,9.163599916780912,236,-10549.140273064957,-13.186425341331196,-0.14521906640676358,0.047509954566921433,0.25,0.2775,0.08875,False,False,False,-10549.140273064957,32669.353451559582
