step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.034875,0.21573170267602046,0.02382630406172749,,8950.585118192055,11.188231397740068,0.08504858565072039,0.09695826701054294,0.25,0.2725,0.0875,False,8950.585118192055,8950.585118192055
6,treatment,policy_value,profit,0.028562500000000005,0.2071781323251461,0.03063313049948219,,8501.55276926816,10.6269409615852,0.08135615353492817,0.09139168529487901,0.25,0.2625,0.095,False,8501.55276926816,17452.137887460216
7,treatment,policy_value,profit,0.028062499999999997,0.2172328380862862,0.04883368078890132,,8560.969433541828,10.701211791927285,0.08063579435075337,0.08956878422114052,0.25,0.28875,0.1025,False,8560.969433541828,26013.107321002044
8,treatment,policy_value,profit,0.03325,0.22323165670077638,0.07478590382924999,,8626.895971590551,10.783619964488189,0.0813963199943425,0.08930977827194703,0.25,0.2825,0.1125,False,8626.895971590551,34640.00329259259
9,treatment,policy_value,profit,0.033468750000000005,0.2243709965673407,0.13535894731513873,1.7594517407270422,9413.801127284823,11.767251409106029,0.08291286072166057,0.09321739088743289,0.25,0.27125,0.0975,False,9413.801127284823,44053.804419877415
10,treatment,policy_value,profit,0.029906250000000002,0.22456530015835852,0.12098402846648917,7.638713502104766,9318.106788990608,11.64763348623826,0.08293839801078473,0.09326312331141447,0.25,0.26375,0.11375,False,9318.106788990608,53371.91120886803
11,treatment,policy_value,profit,0.033968750000000006,0.1984328863531964,0.11943641416636613,-0.44515628153766507,9395.161364724412,11.743951705905515,0.08351870018280957,0.09441822468711651,0.25,0.28375,0.1025,True,9145.161364724412,62517.072573592435
12,treatment,policy_value,profit,0.03560961096520027,0.20819810266460276,0.11442310266029941,-6.599325222620868,8624.371666990402,10.780464583738002,0.07618168397102897,0.07638072229847027,0.25,0.27375,0.0825,True,8374.371666990402,70891.44424058284
13,treatment,policy_value,profit,0.03395833333333333,0.21854347103126556,0.1210781730247292,-3.5344346972931384,9282.148213670636,11.602685267088296,0.08431010612403483,0.08564020624561845,0.25,0.26875,0.075,True,9032.148213670636,79923.59245425348
14,treatment,policy_value,profit,0.02980514510117146,0.20717323259322548,0.14661105073817543,-9.97701499970025,-8730.291331184533,-10.912864163980666,-0.14256715541533244,0.08024289861453174,0.25,0.27875,0.10375,True,-8980.291331184533,70943.30112306894
15,treatment,policy_value,profit,0.03526632482210129,0.22062125178981218,0.18953879498955373,-18.789634162506708,-8404.350952391793,-10.505438690489742,-0.14162144109801214,0.07919991630209759,0.25,0.27625,0.09625,True,-8654.350952391793,62288.950170677155
16,treatment,policy_value,profit,0.03959175463439753,0.21417469855932503,0.1768519872266503,-12.415137513514345,-8888.237043124223,-11.11029630390528,-0.1443455279234919,0.06971918318958278,0.25,0.28,0.0875,True,-9138.237043124223,53150.71312755293
