crossfit_seed,n_splits,budget_fraction,policy,treatment_rate,dr_incremental_value_per_customer,dr_standard_error,dr_ci95_low,dr_ci95_high,rct_incremental_value_per_customer,rct_standard_error,rct_ci95_low,rct_ci95_high,selected_n,selected_treated_n,selected_control_n,ips_incremental_value_per_customer,ips_standard_error,propensity,n_evaluation
1000,5,0.1,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
1000,5,0.1,random,0.09999999999999999,0.0005377185683204142,0.0004258737232629188,-0.00029697859123688415,0.0013724157278777126,0.00027532356056219064,0.00039698156470375226,-0.0005027460087835207,0.0010533931299079018,,,,0.0002753235605621652,0.002100441820743566,0.7573974445191661,11896
1000,5,0.1,risk,0.09969737726967048,0.0030431959865357323,0.0029284209728388773,-0.002696403651800213,0.008782795624871678,0.000389059192393197,0.002294353742666493,-0.004107791511027807,0.0048859098958142005,1186.0,896.0,290.0,-0.0005120975154271643,0.0063035665258860596,0.7573974445191661,11896
1000,5,0.1,uplift,0.09969737726967048,0.0018873688094872755,0.002606534150386466,-0.0032213442497439054,0.006996081868718456,-0.0006967093996755389,0.001973788294025973,-0.004565263369073199,0.0031718445697221215,1186.0,908.0,278.0,0.0033454012366331857,0.0063623320902752864,0.7573974445191661,11896
1000,5,0.1,profit_uplift,0.09969737726967048,0.0018873688094872755,0.002606534150386466,-0.0032213442497439054,0.006996081868718456,-0.0006967093996755389,0.001973788294025973,-0.004565263369073199,0.0031718445697221215,1186.0,908.0,278.0,0.0033454012366331857,0.0063623320902752864,0.7573974445191661,11896
1000,5,0.1,treat_all,1.0,0.005377185683204141,0.004258737232629187,-0.00296978591236884,0.013724157278777124,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
1000,5,0.25,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
1000,5,0.25,random,0.25,0.0013442964208010353,0.0010646843081572968,-0.00074244647809221,0.003431039319694281,0.0006883089014054766,0.0009924539117593806,-0.0012568650219588016,0.0026334828247697546,,,,0.000688308901405413,0.005251104551858915,0.7573974445191661,11896
1000,5,0.25,risk,0.24974781439139207,0.006597859573976547,0.0035913130050451935,-0.00044098457312234315,0.013636703721075437,0.003393960206165576,0.0030848899318385156,-0.002652312956508135,0.009440233368839287,2971.0,2229.0,742.0,-0.0054071744415806955,0.010276894224212085,0.7573974445191661,11896
1000,5,0.25,uplift,0.24974781439139207,0.00396041239322092,0.0029648241437402177,-0.0018505361490047086,0.00977136093544655,0.0004184350014910467,0.0023778641729470707,-0.004242093137613333,0.0050789631405954265,2971.0,2227.0,744.0,-0.009641016411271727,0.010513295425134968,0.7573974445191661,11896
1000,5,0.25,profit_uplift,0.24134162743779422,0.0037245162558530395,0.0029424382040709953,-0.0020425566508608275,0.009491589162566906,0.0006370008836374166,0.0023915334988850777,-0.004050318641998396,0.005324320409273229,2871.0,2170.0,701.0,-0.0013033181734624982,0.010237388402184884,0.7573974445191661,11896
1000,5,0.25,treat_all,1.0,0.005377185683204141,0.004258737232629187,-0.00296978591236884,0.013724157278777124,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
1000,5,0.5,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
1000,5,0.5,random,0.5,0.0026885928416020707,0.0021293686163145935,-0.00148489295618442,0.006862078639388562,0.0013766178028109533,0.001984907823518761,-0.002513730043917603,0.005266965649539509,,,,0.001376617802810826,0.01050220910371783,0.7573974445191661,11896
1000,5,0.5,risk,0.49983187626092807,0.006376812494374762,0.003975292473072118,-0.0014146175808597491,0.014168242569609274,0.003965047522550162,0.003621102728886352,-0.0031321834103867933,0.011062278455487119,5946.0,4502.0,1444.0,0.0033270955579500537,0.01465822927159212,0.7573974445191661,11896
1000,5,0.5,uplift,0.49983187626092807,0.0032475014877532777,0.0031216217678710213,-0.002870764750630175,0.009365767726136731,-6.09513903128977e-05,0.002560476673783279,-0.0050793934541830356,0.0049574906735572405,5946.0,4455.0,1491.0,-0.021572242437947295,0.01506005708101287,0.7573974445191661,11896
1000,5,0.5,profit_uplift,0.25596839273705446,0.0037365998915622057,0.002982969784375979,-0.0021099134527859218,0.009583113235910334,0.0008253447086074967,0.0024033417299197265,-0.0038851185245773554,0.005535807941792349,3045.0,2295.0,750.0,-0.004061860887610099,0.010588025158753461,0.7573974445191661,11896
1000,5,0.5,treat_all,1.0,0.005377185683204141,0.004258737232629187,-0.00296978591236884,0.013724157278777124,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
