crossfit_seed,n_splits,budget_fraction,first_policy,second_policy,dr_difference_per_customer,dr_standard_error,dr_ci95_low,dr_ci95_high,n_evaluation
1008,5,0.1,risk,uplift,0.0025282496526705276,0.001599902297877907,-0.0006075012299530426,0.005664000535294098,11896
1008,5,0.1,uplift,random,0.00311678434115327,0.0023311388854507635,-0.0014521639172910676,0.007685732599597608,11896
1008,5,0.1,risk,random,0.005645033993823798,0.0026512241567582784,0.0004487301316349994,0.010841337856012597,11896
1008,5,0.25,risk,uplift,0.0008165250980566944,0.00208884429682355,-0.003277534493029357,0.004910584689142745,11896
1008,5,0.25,uplift,random,0.004574300145093385,0.0023019018700926428,6.265538376640841e-05,0.009085944906420361,11896
1008,5,0.25,risk,random,0.005390825243150079,0.0026770129747811307,0.0001439762264326327,0.010637674259867527,11896
1008,5,0.5,risk,uplift,0.0039603497865412455,0.002610699204465967,-0.0011565266286794182,0.00907722620176191,11896
1008,5,0.5,uplift,random,0.0007603172255892779,0.0020812391117195697,-0.003318836476597211,0.004839470927775767,11896
1008,5,0.5,risk,random,0.004720667012130523,0.0020808006603548345,0.0006423726588278868,0.008798961365433159,11896
