crossfit_seed,n_splits,budget_fraction,policy,treatment_rate,dr_incremental_value_per_customer,dr_standard_error,dr_ci95_low,dr_ci95_high,rct_incremental_value_per_customer,rct_standard_error,rct_ci95_low,rct_ci95_high,selected_n,selected_treated_n,selected_control_n,ips_incremental_value_per_customer,ips_standard_error,propensity,n_evaluation
42,5,0.1,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
42,5,0.1,random,0.09999999999999999,0.0003627059535878689,0.0004208939454128467,-0.0004622310207322778,0.0011876429279080157,0.00027532356056219064,0.00039698156470375226,-0.0005027460087835207,0.0010533931299079018,,,,0.0002753235605621652,0.002100441820743566,0.7573974445191661,11896
42,5,0.1,risk,0.09969737726967048,0.004375729249018949,0.0029947613562061274,-0.0014938951514373872,0.010245353649475285,0.003712918548759848,0.0024805298972507706,-0.001148830712426502,0.008574667809946198,1186.0,904.0,282.0,0.005919810359322001,0.006157062622136299,0.7573974445191661,11896
42,5,0.1,uplift,0.09969737726967048,0.002058536680358919,0.0027068245713726294,-0.0032467419919995017,0.00736381535271734,0.00034292442787895746,0.002147207355622777,-0.003865524656481171,0.004551373512239086,1186.0,903.0,283.0,0.0022625972681466428,0.006327916382992471,0.7573974445191661,11896
42,5,0.1,profit_uplift,0.09969737726967048,0.002058536680358919,0.0027068245713726294,-0.0032467419919995017,0.00736381535271734,0.00034292442787895746,0.002147207355622777,-0.003865524656481171,0.004551373512239086,1186.0,903.0,283.0,0.0022625972681466428,0.006327916382992471,0.7573974445191661,11896
42,5,0.1,treat_all,1.0,0.003627059535878689,0.004208939454128467,-0.004622310207322778,0.011876429279080156,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
42,5,0.25,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
42,5,0.25,random,0.25,0.0009067648839696722,0.0010522348635321167,-0.0011555775518306945,0.002969107319770039,0.0006883089014054766,0.0009924539117593806,-0.0012568650219588016,0.0026334828247697546,,,,0.000688308901405413,0.005251104551858915,0.7573974445191661,11896
42,5,0.25,risk,0.24974781439139207,0.004573159533964009,0.0035539322402623093,-0.0023924196604458653,0.011538738728373882,0.003626303256785598,0.003128802293841209,-0.0025060365538894774,0.009758643067460673,2971.0,2237.0,734.0,-0.001844720157705777,0.01022669794347091,0.7573974445191661,11896
42,5,0.25,uplift,0.24974781439139207,0.0016533760184510927,0.0029109611206996127,-0.0040520029385165,0.007358754975418685,-0.0003828798855346751,0.002376670183167494,-0.005041067847673175,0.004275308076603825,2971.0,2231.0,740.0,-0.008712503163113639,0.010495631294944109,0.7573974445191661,11896
42,5,0.25,profit_uplift,0.2367182246133154,0.0016459991389104174,0.0029109562347644892,-0.004059370241800302,0.0073513685196211365,-0.00011865130727193632,0.00239614924772697,-0.00481501753439954,0.004577714919855667,2816.0,2125.0,691.0,-0.0034986920669495946,0.010147621573177909,0.7573974445191661,11896
42,5,0.25,treat_all,1.0,0.003627059535878689,0.004208939454128467,-0.004622310207322778,0.011876429279080156,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
42,5,0.5,never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573974445191661,11896
42,5,0.5,random,0.5,0.0018135297679393444,0.0021044697270642333,-0.002311155103661389,0.005938214639540078,0.0013766178028109533,0.001984907823518761,-0.002513730043917603,0.005266965649539509,,,,0.001376617802810826,0.01050220910371783,0.7573974445191661,11896
42,5,0.5,risk,0.49983187626092807,0.006808761742822944,0.003972182599359666,-0.0009765730919386942,0.014594096577584582,0.006362756862264463,0.0036908640482160725,-0.0008712037440727427,0.013596717468601669,5946.0,4514.0,1432.0,0.01086888134612876,0.014599838054704857,0.7573974445191661,11896
42,5,0.5,uplift,0.49983187626092807,0.00012796095221785672,0.0029977525294442365,-0.0057475260400566925,0.006003447944492406,-0.0022480826524584395,0.0024994696365590457,-0.007146953120565586,0.002650787815648707,5946.0,4459.0,1487.0,-0.02201619360331912,0.015058366948384833,0.7573974445191661,11896
42,5,0.5,profit_uplift,0.2523537323470074,0.001657222368518366,0.0029152008717094257,-0.004056466347731877,0.007370911084768609,2.9322573440090315e-05,0.0024259262868260257,-0.0047254055778879036,0.004784050724768085,3002.0,2276.0,726.0,0.0010219645069811188,0.010441532651123022,0.7573974445191661,11896
42,5,0.5,treat_all,1.0,0.003627059535878689,0.004208939454128467,-0.004622310207322778,0.011876429279080156,0.0027532356056219065,0.003969815647037522,-0.005027460087835206,0.010533931299079018,11896.0,9010.0,2886.0,0.002753235605621652,0.02100441820743566,0.7573974445191661,11896
