policy,treatment_rate,rct_incremental_value_per_customer,rct_standard_error,rct_ci95_low,rct_ci95_high,selected_n,selected_treated_n,selected_control_n,ips_incremental_value_per_customer,ips_standard_error,ips_ci95_low,ips_ci95_high,propensity,n_test
never,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.7573974445191661,3569
random,0.24992995236760998,-0.0016114841733104225,0.003360417808853011,-0.008197782051669326,0.004974813705048481,892,702,190,0.0375250511137009,0.018422601532813655,0.0014174156078537517,0.07363268661954805,0.7573974445191661,3569
risk,0.24992995236760998,0.0044709935151385416,0.005638026807697774,-0.006579335971820426,0.01552132300209751,892,686,206,0.018937881054908613,0.01833934573458259,-0.01700657608490151,0.05488233819471873,0.7573974445191661,3569
uplift,0.24992995236760998,0.00040951144269144176,0.004080261796298494,-0.00758765472554831,0.008406677610931194,892,675,217,-0.00046146183699525363,0.019091517174973628,-0.03788014791017143,0.03695722423618092,0.7573974445191661,3569
profit_uplift,0.24992995236760998,0.00040951144269144176,0.004080261796298494,-0.00758765472554831,0.008406677610931194,892,675,217,-0.00046146183699525363,0.019091517174973628,-0.03788014791017143,0.03695722423618092,0.7573974445191661,3569
treat_all,1.0,0.0032852044473722364,0.007292481116261138,-0.01100779589843804,0.017578204793182513,3569,2703,866,0.0030625683915246416,0.038344853723887275,-0.07209196389975096,0.07821710068280026,0.7573974445191661,3569
