step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.03828125,0.2146124240202508,0.02374711740193795,,9588.434859689432,11.98554357461179,0.08683200017862226,0.10734401832605442,0.25,0.27,0.1075,False,9588.434859689432,9588.434859689432
6,treatment,policy_value,profit,0.02828125,0.21312757224214948,0.04223287470342778,,8774.280203345243,10.967850254181553,0.08065005307392195,0.0994600558937871,0.25,0.25625,0.09625,False,8774.280203345243,18362.715063034673
7,treatment,policy_value,profit,0.03325,0.21646471894014369,0.05218145860401151,,9674.848433515843,12.093560541894803,0.08175625063924215,0.09991349861799727,0.25,0.28625,0.105,False,9674.848433515843,28037.563496550516
8,treatment,policy_value,profit,0.030781249999999996,0.2153351281803551,0.06206734413249252,,9810.888015372115,12.263610019215143,0.08459456630615997,0.1044342018013566,0.25,0.2775,0.08875,False,9810.888015372115,37848.45151192263
9,treatment,policy_value,profit,0.03721875,0.21999250108435256,0.1090848273847306,-4.207637184434962,10195.483293966594,12.744354117458242,0.08591619517428244,0.1063249132373079,0.25,0.29625,0.09625,True,9945.483293966594,47793.93480588922
10,treatment,policy_value,profit,0.03628821814562003,0.22721435107828702,0.1530225046887366,0.6352231862497062,9359.928293471748,11.699910366839685,0.08480588183567582,0.09687767890874036,0.25,0.2625,0.1,False,9359.928293471748,57153.86309936097
11,treatment,policy_value,profit,0.029447703356086458,0.21943193546597592,0.16161619929553814,14.406646526872116,9046.240534938952,11.30780066867369,0.08181088122898367,0.09002172759930346,0.25,0.27125,0.0925,False,9046.240534938952,66200.10363429991
12,treatment,policy_value,profit,0.03649317406143345,0.21285417624636388,0.13507912095532093,3.835057194853071,9170.537396261292,11.463171745326616,0.08261907797958352,0.09318167598257908,0.25,0.275,0.105,False,9170.537396261292,75370.64103056121
13,treatment,policy_value,profit,0.027714021615472127,0.20893862379281014,0.1173470347589483,2.587249186836236,9129.694512898344,11.41211814112293,0.08246978975738,0.09146389978641485,0.25,0.2775,0.1175,False,9129.694512898344,84500.33554345956
14,treatment,policy_value,profit,0.03369560580204778,0.2213504063974801,0.1733458030287921,-2.9046400596568853,-9435.683319250671,-11.794604149063339,-0.14624872236319145,0.08542021964271501,0.25,0.2775,0.105,True,-9685.683319250671,74814.65222420888
15,treatment,policy_value,profit,0.04043643473290376,0.21244114387205745,0.19233198087855333,-0.7639299408661422,-9152.960810914316,-11.441201013642894,-0.14720904751123765,0.06889749561024079,0.25,0.27,0.08625,True,-9402.960810914316,65411.69141329457
16,treatment,policy_value,profit,0.027179815573770492,0.20777760353910263,0.18203438202928077,-0.8520278595915765,-9214.68100151635,-11.518351251895437,-0.14375637042777942,0.07449036410753734,0.25,0.27875,0.11625,True,-9464.68100151635,55947.01041177822
17,treatment,policy_value,profit,0.03227773728131912,0.2092369401484446,0.21576343837529305,-1.5823977344561124,-9164.013228247513,-11.455016535309392,-0.14389844976299188,0.06782864819454103,0.25,0.27375,0.07625,True,-9414.013228247513,46532.99718353071
18,treatment,policy_value,profit,0.03310258988875645,0.21245037583813128,0.24721392219588675,-3.499436364336558,-9308.252068661837,-11.635315085827296,-0.14290648575717088,0.06681185579871914,0.25,0.2825,0.09375,True,-9558.252068661837,36974.74511486887
19,treatment,policy_value,profit,0.033034473478175765,0.21312672418283177,0.23021589176731994,-4.545163539916673,-9244.479239157477,-11.555599048946847,-0.1452716370849587,0.06254528037309655,0.25,0.27375,0.11625,True,-9494.479239157477,27480.265875711393
20,treatment,policy_value,profit,0.03592188100730488,0.2105555645716932,0.2188897634644491,-8.13106007879741,-8388.783752602776,-10.48597969075347,-0.14309178570864275,0.056959875837350696,0.25,0.25875,0.10375,True,-8638.783752602776,18841.482123108617
21,treatment,policy_value,profit,0.031914469016083254,0.20354506795063687,0.2574820873286759,-14.707494942359963,-9127.557549532192,-11.40944693691524,-0.1437973821863546,0.05459396821187598,0.25,0.2825,0.085,True,-9377.557549532192,9463.924573576425
22,treatment,policy_value,profit,0.029715988697926396,0.2140775336784519,0.22087329986777332,-15.650041124537587,-8552.909109565659,-10.691136386957073,-0.14455823199587278,0.05066736628726329,0.25,0.2625,0.10375,True,-8802.909109565659,661.0154640107667
23,treatment,policy_value,profit,0.03371757726269316,0.20258114049181308,0.22630153362416167,-20.228467217837128,-8902.093181850514,-11.127616477313143,-0.14330702724954023,0.053718759456447183,0.25,0.2725,0.10875,True,-9152.093181850514,-8491.077717839747
24,treatment,policy_value,profit,0.037630505386565274,0.2090555573417958,0.23953984495400477,-22.9283515222996,-8930.06540837842,-11.162581760473024,-0.14454652475498408,0.04560152418155635,0.25,0.27,0.08125,True,-9180.06540837842,-17671.143126218165
25,treatment,policy_value,profit,0.030223358088761632,0.20437660174059663,0.2097485471351494,-16.26328244727619,-9438.360194021616,-11.797950242527019,-0.14412524546476405,0.04053621674923818,0.25,0.285,0.1025,True,-9688.360194021616,-27359.503320239783
26,treatment,policy_value,profit,0.02920111331569665,0.2173713560108752,0.16666111161138947,-6.704809674938775,-8408.517694285365,-10.510647117856706,-0.14219654192180975,0.04813864553621437,0.25,0.26875,0.09625,True,-8658.517694285365,-36018.02101452515
27,treatment,policy_value,profit,0.027619872324691146,0.19979968049907504,0.170361381718879,-5.607144803141383,-8519.841525348482,-10.649801906685603,-0.1419936758229683,0.04422977465881214,0.25,0.27375,0.095,True,-8769.841525348482,-44787.86253987363
28,treatment,policy_value,profit,0.031035387686759404,0.20757298595260668,0.16171685162730517,-6.77347554367369,-8783.14465521203,-10.978930819015039,-0.14339705276211942,0.04396139939268275,0.25,0.27625,0.11,True,-9033.14465521203,-53821.007195085665
29,treatment,policy_value,profit,0.026161288276095415,0.20845558743642187,0.15656278728443562,-1.9641114084884936,-8972.103206773256,-11.215129008466569,-0.1448763055649496,0.0327624578103893,0.25,0.2775,0.095,True,-9222.103206773256,-63043.110401858925
