step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.032218750000000004,0.21404516553819575,,19.85048769840327,28.68006032744133,-27.324013552375604,67.02498894918214,56.6054639109493,81,8410.850320549147,10.513562900686434,0.07832097707671051,0.07162758857610461,0.25,0.25875,0.10125,False,False,False,8410.850320549147,8410.850320549147
6,treatment,policy_value_confident,profit,0.032937499999999995,0.20937162821592817,0.14975317885457834,9.843647563736209,15.498851184406181,-15.649694020515408,35.33698914798782,29.706224563254736,156,7779.355538818416,9.72419442352302,0.07738347971865284,0.07103782597409124,0.25,0.2625,0.09375,False,False,False,7779.355538818416,16190.205859367563
7,treatment,policy_value_confident,profit,0.032125,0.2151884150414425,0.1116054977648146,8.414757382700872,12.982965417509067,-12.940320372874444,29.769835138276186,25.053097038921024,235,8057.763409439419,10.072204261799273,0.08123480360230545,0.07627381728701456,0.25,0.26875,0.09875,False,False,False,8057.763409439419,24247.96926880698
8,treatment,policy_value_confident,profit,0.0335,0.214123015307419,0.10672743732076305,9.76895071342958,10.507522059929622,-7.514385057118256,27.05228648397742,23.234882059326814,248,7815.580486581202,9.769475608226504,0.08023755115702919,0.07245039108805312,0.25,0.3025,0.1175,False,False,False,7815.580486581202,32063.549755388183
9,treatment,policy_value_confident,profit,0.03353125,0.21114247141596207,0.13832841981860966,8.359553760026495,12.293414294614303,-11.861313330086906,28.580420850139895,24.114198095177827,258,8576.088055031763,10.720110068789705,0.08077566784127953,0.07598350859241623,0.25,0.27125,0.10625,False,False,False,8576.088055031763,40639.63781041995
10,treatment,policy_value_confident,profit,0.034875,0.2007488978201108,0.13279380733677812,15.67986186322144,11.882194315077069,-3.8646085520752322,35.22433227851811,30.90750658981361,247,8218.65184449184,10.2733148056148,0.07687421018255751,0.07251539157277005,0.25,0.27375,0.085,False,False,False,8218.65184449184,48858.28965491179
11,treatment,policy_value_confident,profit,0.032843750000000005,0.2192410340183285,0.1566494430362745,11.375032412218092,12.906908074675608,-9.854942147141317,32.6050069715775,27.91590066165886,228,8549.795414932749,10.687244268665935,0.08515794138566736,0.08063275112517139,0.25,0.27375,0.09375,False,False,False,8549.795414932749,57408.085069844536
12,treatment,policy_value_confident,profit,0.038468749999999996,0.217579056742862,0.11767757921845634,17.905335186447637,12.12383272164155,-2.0365950382973956,37.847265411192666,33.44265199126822,224,7898.793057640698,9.873491322050873,0.07625683858500462,0.07201168330780451,0.25,0.2825,0.10125,False,False,False,7898.793057640698,65306.87812748524
13,treatment,policy_value_confident,profit,0.030656250000000003,0.21525961003365596,0.10975463568014757,9.167923480992195,11.770950779832969,-10.193567601883315,28.529414563867704,24.253003880835575,244,8382.407825544338,10.478009781930423,0.07965313779909282,0.07505120880764153,0.25,0.28,0.11,False,False,False,8382.407825544338,73689.28595302958
14,treatment,policy_value_confident,profit,0.0315,0.21103571936167279,0.15662394647395525,3.3139510537124717,10.707790651437191,-14.298797235941052,20.926699343365996,17.036536926585644,249,-9442.005985845648,-11.80250748230706,-0.14364050273466114,0.07921839765427138,0.25,0.2875,0.1,False,False,False,-9442.005985845648,64247.27996718393
15,treatment,policy_value_confident,profit,0.031968750000000004,0.2121069174275795,0.17111358457005546,-0.7045066089667807,10.288125110275153,-17.626966511133375,16.217953293199812,12.480256232625058,259,-9395.274851838902,-11.744093564798627,-0.14596793120398976,0.0728089067042699,0.25,0.28375,0.11375,False,False,False,-9395.274851838902,54852.00511534503
16,treatment,policy_value_confident,profit,0.032031250000000004,0.21395514167446442,0.272702638542292,-7.991098738673853,9.534450604314204,-23.67387439616972,7.691676918822014,4.227791359892678,255,-9184.67281066013,-11.480841013325161,-0.1450523487864621,0.07045243004379186,0.25,0.2775,0.105,False,False,False,-9184.67281066013,45667.332304684904
17,treatment,policy_value_confident,profit,0.032218750000000004,0.2127518819517335,0.18809972959872975,-4.179429923091216,9.484657749049584,-19.7803036220088,11.421443775826372,7.975648063858006,264,-8954.649839826343,-11.193312299782928,-0.14440042522207133,0.0787101280648966,0.25,0.275,0.11125,False,False,False,-8954.649839826343,36712.68246485856
18,treatment,policy_value_confident,profit,0.03984375,0.21649725123982627,0.1991671823895091,-11.15151264601445,10.147808205824756,-27.843171778973204,5.540146486944305,1.8534268470066113,244,-8877.625489564452,-11.097031861955566,-0.14297672925279187,0.07273562814085328,0.25,0.27625,0.08875,False,False,False,-8877.625489564452,27835.05697529411
19,treatment,policy_value_confident,profit,0.03165625,0.21173502158123703,0.15370398460562545,-1.4294954028151317,10.202839400827386,-18.211672796469436,15.352681990839173,11.64596940431534,233,-8762.479726406415,-10.953099658008018,-0.14364574856313625,0.07363784449789307,0.25,0.27,0.09125,False,False,False,-8762.479726406415,19072.577248887694
20,treatment,policy_value_confident,profit,0.035750000000000004,0.2149932758203928,0.22696568581343257,0.3362854688984056,10.697827919976143,-17.26007558577707,17.932646523573883,14.046103587670569,218,-8783.94815291513,-10.979935191143914,-0.14195845072595792,0.07424750829648616,0.25,0.27375,0.0925,False,False,False,-8783.94815291513,10288.629095972563
21,treatment,policy_value_confident,profit,0.03634375,0.20598742664149605,0.23637161029725604,3.6546086798837916,9.376727384226518,-11.768735366996381,19.077952726763964,15.671368338824212,226,-8544.050371334015,-10.680062964167519,-0.14198088278850526,0.07768406650232017,0.25,0.27375,0.09875,False,False,False,-8544.050371334015,1744.578724638548
22,treatment,policy_value_confident,profit,0.031625,0.21952761811717345,0.22669693613678743,2.591984066336723,10.28024753699775,-14.317518380852958,19.5014865135264,15.766651391562213,244,-9273.445463401917,-11.591806829252397,-0.14191566392347316,0.07724850478820573,0.25,0.2925,0.11375,False,False,False,-9273.445463401917,-7528.866738763369
23,treatment,policy_value_confident,profit,0.0421875,0.22737174587562806,0.28010044806291456,-3.489785407553381,9.386233607541355,-18.928765800331576,11.949194985224812,8.539156966758586,253,-9339.824294736613,-11.674780368420766,-0.1469175855527346,0.07178062957132365,0.25,0.27875,0.10375,False,False,False,-9339.824294736613,-16868.69103349998
24,treatment,policy_value_confident,profit,0.029625,0.21829426478622677,0.27033240951333387,-3.2230864582948424,9.98309436847824,-19.643815438485085,13.197642521895398,9.570763758607931,271,-9464.79939976332,-11.830999249704151,-0.14621813437534154,0.07433524137241725,0.25,0.29,0.12125,False,False,False,-9464.79939976332,-26333.4904332633
