step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.037125,0.22073083810196667,0.011460557798651237,,9285.831314625495,11.607289143281868,0.08517850071037276,0.1170600272134622,0.25,0.28125,0.10375,False,False,9285.831314625495,9285.831314625495
6,treatment,policy_value,profit,0.04040625,0.21226683572861943,0.015821964263811425,,9303.131174345119,11.628913967931398,0.08264561865960923,0.11294872655992251,0.25,0.26875,0.09875,False,False,9303.131174345119,18588.962488970614
7,treatment,policy_value,profit,0.03965625,0.2067790463015907,0.027679953720945713,,8592.888478226268,10.741110597782836,0.07411562562070692,0.10369799456454856,0.25,0.27875,0.11375,False,False,8592.888478226268,27181.850967196882
8,treatment,policy_value,profit,0.0325,0.21495943660828837,0.05026808317958747,,9041.62135542923,11.302026694286537,0.08164176066398884,0.11391456925427043,0.25,0.28625,0.10875,False,False,9041.62135542923,36223.47232262611
9,treatment,policy_value,profit,0.032375,0.2197396105974708,0.1245816403435381,13.677664964859481,9449.587627838118,11.811984534797649,0.0861453076644284,0.11979131457173235,0.25,0.27625,0.11,False,False,9449.587627838118,45673.05995046423
10,treatment,policy_value,profit,0.028374999999999997,0.2308542943322324,0.12311121381571553,20.7302198817039,9267.051262093697,11.583814077617122,0.08549375894130679,0.11633682626712137,0.25,0.27625,0.10375,False,False,9267.051262093697,54940.111212557924
11,treatment,policy_value,profit,0.03575,0.2075897385528279,0.12990773333041306,26.962792653346213,8208.064574068125,10.260080717585156,0.07544507868188102,0.10507806719953035,0.25,0.285,0.09875,False,False,8208.064574068125,63148.175786626045
12,treatment,policy_value,profit,0.030875,0.20460777583458933,0.12324776840414049,21.43653450795009,9609.646411622613,12.012058014528266,0.08493268460511244,0.11832165730220894,0.25,0.2825,0.10625,False,False,9609.646411622613,72757.82219824866
13,treatment,policy_value,profit,0.031,0.21330146995034072,0.09731699493943156,21.41990847154584,9186.78101481279,11.483476268515988,0.07955746842878164,0.11104934297537322,0.25,0.2875,0.11625,False,False,9186.78101481279,81944.60321306145
14,treatment,policy_value,profit,0.0380625,0.2262277802245534,0.15067673786551466,12.131604099677077,-8852.096685140645,-11.065120856425805,-0.14292832384659507,0.11436054368674249,0.25,0.26625,0.1025,False,False,-8852.096685140645,73092.5065279208
15,treatment,policy_value,profit,0.032375,0.22667153695287545,0.19026719932075212,4.522678944840544,-9198.102339731486,-11.497627924664357,-0.14480862036962555,0.10948872894079473,0.25,0.2775,0.1,False,False,-9198.102339731486,63894.40418818932
16,treatment,policy_value,profit,0.02903125,0.22316956181638103,0.22143035815861356,-9.476422038974581,-8477.966379121002,-10.597457973901253,-0.14234996639905645,0.1098915287303307,0.25,0.265,0.09625,True,False,-8727.966379121002,55166.43780906832
17,treatment,policy_value,profit,0.043492955635491604,0.208618533537268,0.07945328152955923,-18.895261488037086,-7613.839239359011,-9.517299049198764,-0.14512961782650569,-0.08244242829140237,0.2075,0.24,0.1075,False,True,-7613.839239359011,47552.598569709306
18,treatment,policy_value,profit,0.04673411270983213,0.2046726709911136,0.18849779910560238,-27.51933464536644,-7252.938051372503,-9.066172564215629,-0.14541356388311427,-0.07232459484788052,0.2125,0.23375,0.1,False,True,-7252.938051372503,40299.6605183368
19,treatment,policy_value,profit,0.05165992206235012,0.20107438947770645,0.21628923650156068,-26.903930945538466,-7515.903134935845,-9.394878918669805,-0.14303713479954192,-0.0787231813341596,0.215,0.24,0.10625,False,True,-7515.903134935845,32783.75738340095
20,treatment,policy_value,profit,0.05117693345323741,0.19846689551337285,0.23115642116351853,-23.45645233327373,-7162.580702323525,-8.953225877904407,-0.14430326198576465,-0.07046581654315874,0.205,0.23,0.11,False,True,-7162.580702323525,25621.176681077428
21,treatment,policy_value,profit,0.05195855815347722,0.19705574157447855,0.21993859516903613,-17.119011635561765,-7359.296367102646,-9.199120458878308,-0.1450725162713206,-0.07562772555458115,0.2075,0.23375,0.0975,True,False,-7609.296367102646,18011.880313974783
22,treatment,policy_value,profit,0.05358288369304556,0.20186054390427813,0.05996084915893229,-9.191107635930976,-4839.095007292481,-6.048868759115601,-0.14331724330689646,-0.17671298559460147,0.1175,0.15125,0.08375,False,True,-4839.095007292481,13172.785306682303
23,treatment,policy_value,profit,0.04604054256594724,0.20845300240438128,0.07212180322204545,-4.429983245120136,-4550.535919252911,-5.688169899066139,-0.14543936857091427,-0.18073779586010416,0.09125,0.1375,0.09875,False,True,-4550.535919252911,8622.24938742939
24,treatment,policy_value,profit,0.047025629496402876,0.21709743985114754,0.10056095622268815,-3.0185485058946924,-4832.53288483275,-6.040666106040938,-0.14018744279809142,-0.16674786285684973,0.115,0.15875,0.1075,False,True,-4832.53288483275,3789.7165025966406
25,treatment,policy_value,profit,0.05060738908872901,0.2112581863312954,0.14576523335748642,2.2169097523914196,-4574.867851583191,-5.718584814478988,-0.14346899443415567,-0.17371838699845696,0.10375,0.1425,0.0975,False,False,-4574.867851583191,-785.1513489865501
26,treatment,policy_value,profit,0.05425022482014388,0.21332687252052032,0.13426966195944737,0.5082591320119259,-4500.8470887235035,-5.626058860904379,-0.14299603447200357,-0.16956054924020808,0.10625,0.135,0.10125,False,False,-4500.8470887235035,-5285.998437710054
27,treatment,policy_value,profit,0.04516973920863309,0.20335368083209282,0.13768524706312626,-2.784875594763457,-4826.504246094306,-6.033130307617882,-0.14408913047736882,-0.17207561960645276,0.11875,0.15375,0.11,True,False,-5076.504246094306,-10362.50268380436
28,treatment,policy_value,profit,0.06538379854368932,0.21946800965331284,0.03907894906848118,-1.1405727588815704,-4117.771860788242,-5.147214825985302,-0.14428426021743007,-0.13138817870088,0.0775,0.12375,0.0875,False,True,-4117.771860788242,-14480.274544592601
29,treatment,policy_value,profit,0.05824787621359223,0.20654049474177982,0.061488691684813364,3.034711192799003,-4502.458375847269,-5.628072969809086,-0.14302458452574004,-0.12482826759573283,0.1025,0.14375,0.09625,False,False,-4502.458375847269,-18982.73292043987
