window,cooldown,seed,net_value,retrainings,oracle_value_per_customer,cate_recovery_step,treatment_recovery_step,blocked_retrainings
10,0,28,-32064.7952363016,10,-1.4782397618150807,20,23.0,0
10,0,29,-13212.254233380838,12,-0.5106127116690419,18,21.0,0
10,0,30,-27652.377951087863,13,-1.2201188975543935,19,23.0,0
10,2,1,-24783.0444347167,5,-1.1766522217358346,15,23.0,8
10,2,2,-9262.686337677374,4,-0.4131343168838686,17,20.0,7
10,2,3,-22329.91791829987,4,-1.0664958959149922,20,23.0,7
10,2,4,-9117.77407955426,5,-0.39338870397771303,15,24.0,6
10,2,5,-33793.35519971542,4,-1.6396677599857707,20,23.0,7
10,2,6,-45785.10643899873,5,-2.2267553219499363,21,,8
10,2,7,-21654.67154862787,4,-1.0327335774313935,22,25.0,6
10,2,8,-6211.896248693658,6,-0.23559481243468317,19,19.0,11
10,2,9,-36368.41954658227,5,-1.7559209773291138,20,29.0,7
10,2,10,-2449.402031571837,6,-0.04747010157859226,19,19.0,10
10,2,11,-9189.40880166044,5,-0.396970440083023,16,21.0,9
10,2,12,-31124.92974739756,6,-1.481246487369878,21,24.0,9
10,2,13,-29361.157744909935,4,-1.4180578872454972,24,24.0,4
10,2,14,-36572.46769885074,4,-1.7786233849425377,24,24.0,6
10,2,15,-40390.37443016293,4,-1.9695187215081473,20,27.0,6
10,2,16,-16805.096142603492,6,-0.7652548071301749,18,22.0,10
10,2,17,-13966.538344993362,5,-0.6358269172496682,18,24.0,6
10,2,18,-7245.520495993254,5,-0.29977602479966303,16,19.0,8
10,2,19,-6752.401389108668,6,-0.26262006945543437,18,21.0,8
10,2,20,-4366.941724680028,6,-0.14334708623400114,18,21.0,9
10,2,21,-37704.94123733959,6,-1.81024706186698,21,24.0,9
10,2,22,-24381.385648185053,5,-1.1565692824092522,22,25.0,10
10,2,23,-15592.260857824818,5,-0.7171130428912406,19,22.0,8
10,2,24,-34544.95702613457,6,-1.652247851306729,19,23.0,11
10,2,25,-14981.50942350389,5,-0.686575471175195,17,22.0,10
10,2,26,-4465.263767301802,5,-0.16076318836509018,19,22.0,9
10,2,27,-15352.216745985908,5,-0.7051108372992957,18,21.0,8
10,2,28,-36506.094279703975,4,-1.7753047139851992,20,23.0,7
10,2,29,-18506.834030344853,4,-0.8753417015172428,20,23.0,6
10,2,30,-32165.414645008346,5,-1.5457707322504177,19,25.0,8
10,4,1,-24558.502648356694,3,-1.190425132417834,17,23.0,7
10,4,2,-16159.13839925304,3,-0.7704569199626519,17,22.0,10
10,4,3,-29281.332721062663,3,-1.4265666360531322,20,25.0,8
10,4,4,-15610.586590463263,4,-0.7305293295231634,15,26.0,6
10,4,5,-45065.29895191982,3,-2.215764947595991,22,27.0,8
10,4,6,-53787.96942306552,2,-2.6643984711532767,23,,8
10,4,7,-20582.12172172329,3,-0.9916060860861647,24,24.0,9
10,4,8,-15545.42988442052,3,-0.7397714942210264,18,23.0,12
10,4,9,-41924.97171264333,3,-2.0587485856321672,22,27.0,10
10,4,10,-7202.183958905888,4,-0.31010919794529423,18,23.0,12
10,4,11,-13136.37206520675,3,-0.6193186032603379,18,23.0,11
10,4,12,-40453.136060568475,4,-1.972656803028424,20,25.0,12
10,4,13,-27760.475612774717,2,-1.3630237806387369,24,24.0,4
10,4,14,-33916.01424644308,3,-1.658300712322155,24,24.0,7
10,4,15,-34614.298378550426,3,-1.6932149189275216,22,27.0,11
10,4,16,-17173.948199031318,4,-0.8086974099515658,20,25.0,12
10,4,17,-17132.730695802114,3,-0.8191365347901057,18,23.0,9
10,4,18,-16982.881453191956,4,-0.799144072659598,18,23.0,11
10,4,19,-9704.471207009414,4,-0.4352235603504714,22,22.0,10
10,4,20,-11162.299403363306,4,-0.5081149701681649,20,25.0,11
10,4,21,-39302.053713817775,3,-1.927602685690889,23,23.0,10
10,4,22,-35701.511342156795,3,-1.7475755671078397,21,26.0,12
10,4,23,-21144.777169492845,3,-1.0197388584746416,21,26.0,11
10,4,24,-44117.13556010798,4,-2.1558567780053988,19,27.0,12
10,4,25,-15631.075767907967,3,-0.7440537883953988,17,26.0,10
10,4,26,-11159.459013900014,3,-0.5204729506950008,21,21.0,12
10,4,27,-25731.68338699013,3,-1.249084169349507,20,25.0,11
10,4,28,-48084.69099520848,3,-2.366734549760425,22,27.0,9
10,4,29,-22774.147292669964,3,-1.1012073646334986,22,22.0,9
10,4,30,-37081.53473343962,3,-1.8165767366719814,21,26.0,11
