step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.034875,0.21573170267602046,,-21.643122241096503,26.577979921782763,-65.36000891248426,22.07376443029126,12.41792953667716,70,8950.585118192055,11.188231397740068,0.08504858565072039,0.09695826701054294,0.25,0.2725,0.0875,False,False,False,8950.585118192055,8950.585118192055
6,treatment,policy_value_confident,profit,0.028562500000000005,0.2071781323251461,0.17333907136418344,-5.260123815554774,16.473070141041635,-32.3559129840731,21.83566535296355,15.85096501302315,146,8501.55276926816,10.6269409615852,0.08135615353492817,0.09139168529487901,0.25,0.2625,0.095,False,False,False,8501.55276926816,17452.137887460216
7,treatment,policy_value_confident,profit,0.028062499999999997,0.2172328380862862,0.10244857009062622,4.524101752893178,12.776953411439289,-16.492116407302714,25.540319913089068,20.898426400213623,228,8560.969433541828,10.701211791927285,0.08063579435075337,0.08956878422114052,0.25,0.28875,0.1025,False,False,False,8560.969433541828,26013.107321002044
8,treatment,policy_value_confident,profit,0.03325,0.22323165670077638,0.1304957532994665,4.604727227013908,10.440136619231536,-12.56776935699796,21.777223811025774,17.984300655889598,248,8626.895971590551,10.783619964488189,0.0813963199943425,0.08930977827194703,0.25,0.2825,0.1125,False,False,False,8626.895971590551,34640.00329259259
9,treatment,policy_value_confident,profit,0.033468750000000005,0.2243709965673407,0.14897834889476144,5.858883865595625,11.53127615099284,-13.108377534743951,24.826145265935203,20.636808869627615,250,9413.801127284823,11.767251409106029,0.08291286072166057,0.09321739088743289,0.25,0.27125,0.0975,False,False,False,9413.801127284823,44053.804419877415
10,treatment,policy_value_confident,profit,0.029906250000000002,0.22456530015835852,0.16902165019668472,2.4665242233254228,11.615901494292435,-16.639933479872507,21.57298192652335,17.352900968547758,259,9318.106788990608,11.64763348623826,0.08293839801078473,0.09326312331141447,0.25,0.26375,0.11375,False,False,False,9318.106788990608,53371.91120886803
11,treatment,policy_value_confident,profit,0.033968750000000006,0.1984328863531964,0.16266781419821877,-2.3236373688610663,12.225495591810828,-22.432788134330334,17.7855133966082,13.343965646382715,251,9395.161364724412,11.743951705905515,0.08351870018280957,0.09441822468711651,0.25,0.28375,0.1025,False,False,False,9395.161364724412,62767.072573592435
12,treatment,policy_value_confident,profit,0.035375000000000004,0.20851035940980808,0.13521137794856075,-12.696583230301533,10.516842862297867,-29.995250356430873,4.602083895827809,0.7812932044628571,239,8607.300608750777,10.75912576093847,0.07618168397102897,0.08097643870473709,0.25,0.27625,0.0825,False,False,False,8607.300608750777,71374.37318234322
13,treatment,policy_value_confident,profit,0.03421875,0.21831366531131507,0.18455627720652057,-22.004671744936445,11.085086893397127,-40.23801712661293,-3.771326363259959,-7.798561282505423,208,9260.80511618896,11.576006395236199,0.08431010612403483,0.09223624452083427,0.25,0.2675,0.075,True,True,False,9010.80511618896,80385.17829853218
14,treatment,policy_value_confident,profit,0.049035145888594166,0.19713087400123364,0.16220365887872276,-18.478658283661055,10.044149673582718,-34.999814303897026,-1.9575022634250843,-5.606562544916834,209,-9921.475288390968,-12.40184411048871,-0.14256715541533244,-0.02732095236672903,0.25,0.28125,0.10375,True,True,False,-10171.475288390968,70213.70301014121
