step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.032218750000000004,0.21404516553819575,0.01220832849739641,,8410.850320549147,10.513562900686434,0.07832097707671051,0.07162758857610461,0.25,0.25875,0.10125,False,8410.850320549147,8410.850320549147
6,treatment,policy_value,profit,0.032937499999999995,0.20937162821592817,0.013548139202706437,,7779.355538818416,9.72419442352302,0.07738347971865284,0.07103782597409124,0.25,0.2625,0.09375,False,7779.355538818416,16190.205859367563
7,treatment,policy_value,profit,0.032125,0.2151884150414425,0.0406805865591416,,8057.763409439419,10.072204261799273,0.08123480360230545,0.07627381728701456,0.25,0.26875,0.09875,False,8057.763409439419,24247.96926880698
8,treatment,policy_value,profit,0.0335,0.214123015307419,0.04953154885000461,,7815.580486581202,9.769475608226504,0.08023755115702919,0.07245039108805312,0.25,0.3025,0.1175,False,7815.580486581202,32063.549755388183
9,treatment,policy_value,profit,0.03353125,0.21114247141596207,0.10059688886573369,8.918777512149006,8576.088055031763,10.720110068789705,0.08077566784127953,0.07598350859241623,0.25,0.27125,0.10625,False,8576.088055031763,40639.63781041995
10,treatment,policy_value,profit,0.034875,0.2007488978201108,0.09740689055368512,10.579811375510568,8218.65184449184,10.2733148056148,0.07687421018255751,0.07251539157277005,0.25,0.27375,0.085,False,8218.65184449184,48858.28965491179
11,treatment,policy_value,profit,0.032843750000000005,0.2192410340183285,0.115122558698792,12.689495387890457,8549.795414932749,10.687244268665935,0.08515794138566736,0.08063275112517139,0.25,0.27375,0.09375,False,8549.795414932749,57408.085069844536
12,treatment,policy_value,profit,0.038468749999999996,0.217579056742862,0.07627767494135597,14.207694756474567,7898.793057640698,9.873491322050873,0.07625683858500462,0.07201168330780451,0.25,0.2825,0.10125,False,7898.793057640698,65306.87812748524
13,treatment,policy_value,profit,0.030656250000000003,0.21525961003365596,0.10593847531480989,10.218584166275301,8382.407825544338,10.478009781930423,0.07965313779909282,0.07505120880764153,0.25,0.28,0.11,False,8382.407825544338,73689.28595302958
14,treatment,policy_value,profit,0.0315,0.21103571936167279,0.06624098766955643,9.58391987967257,-9442.005985845648,-11.80250748230706,-0.14364050273466114,0.07921839765427138,0.25,0.2875,0.1,False,-9442.005985845648,64247.27996718393
15,treatment,policy_value,profit,0.031968750000000004,0.2121069174275795,0.09517852061760235,4.024838301014833,-9395.274851838902,-11.744093564798627,-0.14596793120398976,0.0728089067042699,0.25,0.28375,0.11375,False,-9395.274851838902,54852.00511534503
16,treatment,policy_value,profit,0.032031250000000004,0.21395514167446442,0.1688481440642475,-1.354857675321376,-9184.67281066013,-11.480841013325161,-0.1450523487864621,0.07045243004379186,0.25,0.2775,0.105,True,-9434.67281066013,45417.332304684904
17,treatment,policy_value,profit,0.05454599056603774,0.20429120707603407,0.035840283630937296,-0.22491213433524138,-7620.09085671131,-9.525113570889138,-0.14440042522207133,-0.0800666386023533,0.21625,0.23875,0.11125,True,-7870.09085671131,37547.241447973596
18,treatment,policy_value,profit,0.04642939814814814,0.19520265535566128,0.08689060417213457,-2.177820927568812,-8242.96550313694,-10.303706878921176,-0.14297672925279187,-0.05867816970958854,0.21875,0.245,0.08875,True,-8492.96550313694,29054.275944836656
19,treatment,policy_value,profit,0.05169992469879518,0.19184429806525125,0.030857640867301653,-3.3391572002068344,-6327.772398569603,-7.9097154982120035,-0.14364574856313625,-0.11336101955715526,0.1675,0.2,0.09125,True,-6577.772398569603,22476.503546267053
20,treatment,policy_value,profit,0.04675245098039216,0.2011076970785733,0.05297465376268608,-3.4211927447324397,-6140.69423237153,-7.675867790464412,-0.14195845072595792,-0.11210288556914297,0.16,0.195,0.0925,True,-6390.69423237153,16085.809313895523
21,treatment,policy_value,profit,0.06735493925831201,0.19889746101312222,0.04630551967627752,-1.5079676604955472,-5713.371188989315,-7.141713986236644,-0.14198088278850526,-0.11242827474797201,0.14875,0.1825,0.09875,True,-5963.371188989315,10122.438124906208
22,treatment,policy_value,profit,0.061212759067357514,0.20111403869533453,0.0631118411865652,-6.075862122958132,-7204.8923586217425,-9.006115448277178,-0.14191566392347316,-0.08970437546197946,0.18625,0.23375,0.11375,True,-7454.8923586217425,2667.5457662844656
23,treatment,policy_value,profit,0.05101965206185567,0.22442828058712266,0.06781164864145356,-6.625360723598683,-3935.4731495610904,-4.919341436951363,-0.1469175855527346,-0.13719712241441534,0.075,0.12,0.10375,True,-4185.47314956109,-1517.9273832766248
24,treatment,policy_value,profit,0.04593749999999999,0.22455803732851856,0.05489824241108975,-3.6452520116606113,-2994.764171385772,-3.743455214232215,-0.14621813437534154,-0.17388559661694386,0.0375,0.1,0.12125,True,-3244.764171385772,-4762.691554662397
25,treatment,policy_value,profit,0.060958136792452836,0.20827478720363785,0.047498254549095134,-0.7973949709649212,-2948.9750146349306,-3.686218768293663,-0.14390390245886764,-0.19479208900274225,0.0475,0.0975,0.1075,True,-3198.9750146349306,-7961.666569297327
26,treatment,policy_value,profit,0.048461869266055044,0.2174306117120212,0.04241607324676849,0.7318220299495469,-3228.8177029655994,-4.036022128707,-0.1438621030012892,-0.1669839363019336,0.0675,0.105,0.085,False,-3228.8177029655994,-11190.484272262927
27,treatment,policy_value,profit,0.049512614678899086,0.2071014109010939,0.06721932317838081,5.873655532693576,-3397.7818511885866,-4.247227313985733,-0.1438419460294007,-0.16634354642555976,0.0625,0.1075,0.0975,False,-3397.7818511885866,-14588.266123451514
28,treatment,policy_value,profit,0.053676892201834865,0.2068183855921047,0.08027675055595947,9.180994588340491,-3218.7621610990664,-4.023452701373833,-0.14315725524243655,-0.1733856910101877,0.06,0.1,0.09875,False,-3218.7621610990664,-17807.02828455058
29,treatment,policy_value,profit,0.05096903669724771,0.20098927528184443,0.07952931820761883,8.721412741298003,-4074.943259137317,-5.093679073921646,-0.14416490280032346,-0.17029240321819814,0.07125,0.12625,0.11,False,-4074.943259137317,-21881.971543687898
