step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.032218750000000004,0.21404516553819575,0.01220832849739641,,8410.850320549147,10.513562900686434,0.07832097707671051,0.07162758857610461,0.25,0.25875,0.10125,False,8410.850320549147,8410.850320549147
6,treatment,policy_value,profit,0.032937499999999995,0.20937162821592817,0.013548139202706437,,7779.355538818416,9.72419442352302,0.07738347971865284,0.07103782597409124,0.25,0.2625,0.09375,False,7779.355538818416,16190.205859367563
7,treatment,policy_value,profit,0.032125,0.2151884150414425,0.0406805865591416,,8057.763409439419,10.072204261799273,0.08123480360230545,0.07627381728701456,0.25,0.26875,0.09875,False,8057.763409439419,24247.96926880698
8,treatment,policy_value,profit,0.0335,0.214123015307419,0.04953154885000461,,7815.580486581202,9.769475608226504,0.08023755115702919,0.07245039108805312,0.25,0.3025,0.1175,False,7815.580486581202,32063.549755388183
9,treatment,policy_value,profit,0.03353125,0.21114247141596207,0.10059688886573369,8.918777512149006,8576.088055031763,10.720110068789705,0.08077566784127953,0.07598350859241623,0.25,0.27125,0.10625,False,8576.088055031763,40639.63781041995
10,treatment,policy_value,profit,0.034875,0.2007488978201108,0.09740689055368512,10.579811375510568,8218.65184449184,10.2733148056148,0.07687421018255751,0.07251539157277005,0.25,0.27375,0.085,False,8218.65184449184,48858.28965491179
11,treatment,policy_value,profit,0.032843750000000005,0.2192410340183285,0.115122558698792,12.689495387890457,8549.795414932749,10.687244268665935,0.08515794138566736,0.08063275112517139,0.25,0.27375,0.09375,False,8549.795414932749,57408.085069844536
12,treatment,policy_value,profit,0.038468749999999996,0.217579056742862,0.07627767494135597,14.207694756474567,7898.793057640698,9.873491322050873,0.07625683858500462,0.07201168330780451,0.25,0.2825,0.10125,False,7898.793057640698,65306.87812748524
13,treatment,policy_value,profit,0.030656250000000003,0.21525961003365596,0.10593847531480989,10.218584166275301,8382.407825544338,10.478009781930423,0.07965313779909282,0.07505120880764153,0.25,0.28,0.11,False,8382.407825544338,73689.28595302958
14,treatment,policy_value,profit,0.0315,0.21103571936167279,0.06624098766955643,9.58391987967257,-9442.005985845648,-11.80250748230706,-0.14364050273466114,0.07921839765427138,0.25,0.2875,0.1,False,-9442.005985845648,64247.27996718393
15,treatment,policy_value,profit,0.031968750000000004,0.2121069174275795,0.09517852061760235,4.024838301014833,-9395.274851838902,-11.744093564798627,-0.14596793120398976,0.0728089067042699,0.25,0.28375,0.11375,False,-9395.274851838902,54852.00511534503
16,treatment,policy_value,profit,0.032031250000000004,0.21395514167446442,0.1688481440642475,-1.354857675321376,-9184.67281066013,-11.480841013325161,-0.1450523487864621,0.07045243004379186,0.25,0.2775,0.105,True,-9434.67281066013,45417.332304684904
17,treatment,policy_value,profit,0.03225532021682393,0.20881757507899198,0.14770435331150156,-3.1418240477516273,-8991.429397415206,-11.239286746769007,-0.14440042522207133,0.07274698564648342,0.25,0.275,0.11125,True,-9241.429397415206,36175.9029072697
18,treatment,policy_value,profit,0.03943941074950691,0.2124354318817933,0.1927014438711477,-6.314142323618161,-9058.77025328094,-11.323462816601175,-0.14297672925279187,0.06838274118295924,0.25,0.27875,0.08875,True,-9308.77025328094,26867.13265398876
19,treatment,policy_value,profit,0.03047792866173896,0.2093800539745123,0.18261397742845623,-2.5721579406854502,-8837.711172736628,-11.047138965920785,-0.14364574856313625,0.0659331798109246,0.25,0.2725,0.09125,True,-9087.711172736628,17779.42148125213
20,treatment,policy_value,profit,0.03579221806674338,0.20991128146562069,0.18323121814525672,-1.0082483092570989,-8858.308398818226,-11.072885498522783,-0.14195845072595792,0.0631877699213275,0.25,0.2775,0.0925,True,-9108.308398818226,8671.113082433905
21,treatment,policy_value,profit,0.03697002647503782,0.20162072322016983,0.16355585220709642,0.7339447557358263,-8602.12852206562,-10.752660652582025,-0.14198088278850526,0.06409656996864907,0.25,0.27375,0.09875,False,-8602.12852206562,68.98456036828611
22,treatment,policy_value,profit,0.032641830559757945,0.21490949443287855,0.1946169077733074,1.558033318090744,-9318.83571117603,-11.648544638970039,-0.14191566392347316,0.06365714049910813,0.25,0.29375,0.11375,False,-9318.83571117603,-9249.851150807744
23,treatment,policy_value,profit,0.040448184568835095,0.22489510652090275,0.2281159791815236,0.44076423693451594,-9225.407273200872,-11.53175909150109,-0.1469175855527346,0.058651402383056404,0.25,0.27625,0.10375,False,-9225.407273200872,-18475.258424008614
24,treatment,policy_value,profit,0.029977543494704995,0.21415690224834205,0.24863816171804234,-3.1942369366671604,-9453.740224383304,-11.81717528047913,-0.14621813437534154,0.0611435408016853,0.25,0.28875,0.12125,True,-9703.740224383304,-28178.99864839192
25,treatment,policy_value,profit,0.04191274609790706,0.20604078949762714,0.21160083691756412,-6.321202127946561,-9021.988892086541,-11.277486115108177,-0.14390390245886764,0.04759580676326986,0.25,0.27625,0.1075,True,-9271.988892086541,-37450.98754047846
26,treatment,policy_value,profit,0.025897645877009087,0.20733470545291816,0.2199183439831419,-5.924847632072139,-8745.92658789807,-10.932408234872588,-0.1438621030012892,0.045634168913741745,0.25,0.27125,0.085,True,-8995.92658789807,-46446.914128376535
27,treatment,policy_value,profit,0.03199412983425415,0.20592869341977577,0.21714205570502224,-4.5705641753851705,-8790.65481150449,-10.988318514380612,-0.1438419460294007,0.04378118630225032,0.25,0.27125,0.0975,True,-9040.65481150449,-55487.56893988102
28,treatment,policy_value,profit,0.03192876916524702,0.20328146158665839,0.19968814089461412,-4.195800775950492,-8831.825459471394,-11.039781824339244,-0.14315725524243655,0.0402512614208052,0.25,0.275,0.09875,True,-9081.825459471394,-64569.394399352415
29,treatment,policy_value,profit,0.0349869200706001,0.19811599330268734,0.21030204685220524,-9.63002479812366,-8988.729802912309,-11.235912253640386,-0.14416490280032346,0.03154635800693857,0.25,0.27625,0.11,True,-9238.729802912309,-73808.12420226472
