step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.03215625,0.21583990507646497,,17.41791722640944,25.245363014573186,-32.062085058793514,66.8979195116124,58.94284414463668,72,9121.905867508603,11.402382334385754,0.08397336939898484,0.07857286544508611,0.25,0.275,0.09,False,False,False,9121.905867508603,9121.905867508603
6,treatment,policy_value_confident,profit,0.03084375,0.21052968039451087,0.21681885973369583,17.839378545871263,15.596726463739726,-12.729643599781348,48.40840069152387,43.49371063832355,179,8462.815233844452,10.578519042305565,0.07830225554524016,0.07164636872085378,0.25,0.2775,0.13375,False,False,False,8462.815233844452,17584.721101353054
7,treatment,policy_value_confident,profit,0.03546875,0.21617121084650123,0.17609643205670875,15.78120203276734,11.878775416814705,-7.500769964629242,39.06317403016392,35.320048860856986,255,8368.66445762869,10.460830572035864,0.07940445271945014,0.07412571343837877,0.25,0.28625,0.095,False,False,False,8368.66445762869,25953.385558981747
8,treatment,policy_value_confident,profit,0.03375,0.21870766001306685,0.13015809665161218,-3.354734907057435,11.206297890774804,-25.318675173003214,18.609205358888346,15.07798482328213,268,8444.733858006346,10.555917322507932,0.08426992171214677,0.07791217367075591,0.25,0.27,0.10625,False,False,False,8444.733858006346,34398.11941698809
9,treatment,policy_value_confident,profit,0.02775,0.22370984348350995,0.12205466744693902,-26.6117909136541,11.589639538030411,-49.32706700199513,-3.896514825313073,-7.548530284464601,231,8620.847718161562,10.776059647701953,0.08647680684194153,0.07953630880532041,0.25,0.2625,0.0875,True,True,False,8370.847718161562,42768.96713514965
10,treatment,policy_value_confident,profit,0.05260670731707317,0.23746590035119947,0.16392226676381727,-13.71088988190866,11.692331379545863,-36.62743828112607,9.205658517308748,5.521283795255854,245,8144.284947314794,10.180356184143493,0.07717629275266011,0.031697320219897615,0.25,0.29375,0.1125,False,False,False,8144.284947314794,50913.252082464445
11,treatment,policy_value_confident,profit,0.05116234756097561,0.22498174927653136,0.1618362254024285,6.030307302306385,12.348359797213762,-18.172033168374902,30.232647772987676,26.341551701655177,243,8300.29581358129,10.375369766976611,0.08200302517938979,0.03169655816568814,0.25,0.28875,0.10375,False,False,False,8300.29581358129,59213.54789604573
12,treatment,policy_value_confident,profit,0.05267911585365854,0.23424594216566802,0.17721722870914616,36.12587200661684,12.181702515293908,12.250173806259799,60.00157020697388,56.16298957134188,252,7985.604917427912,9.98200614678489,0.0789445674218763,0.03653824352715129,0.25,0.275,0.09875,False,False,False,7985.604917427912,67199.15281347364
13,treatment,policy_value_confident,profit,0.05391387195121951,0.2362300794750743,0.1626914976058817,43.93614607270596,14.53713128021171,15.44389232496037,72.42839982045155,67.84759918443189,243,8361.364374871835,10.451705468589793,0.08186695779519973,0.04003957088046683,0.25,0.27125,0.10125,False,False,False,8361.364374871835,75560.51718834548
14,treatment,policy_value_confident,profit,0.05642149390243903,0.24596209404575234,0.1393781058316012,39.51470924226774,13.678013374338917,12.706295648506298,66.32312283602919,62.013039150539846,236,-9337.608006767683,-11.672010008459603,-0.14378547731165967,0.03783318644371026,0.25,0.275,0.095,False,False,False,-9337.608006767683,66222.9091815778
