step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.03375,0.20684819562334625,0.027078084460631566,,8913.965614818288,11.14245701852286,0.08159130407948258,0.08491262983398375,0.25,0.28125,0.10875,False,False,8913.965614818288,8913.965614818288
6,treatment,policy_value,profit,0.035625000000000004,0.20731512221469778,0.04049241851162294,,8518.335657329506,10.647919571661882,0.08008046974128849,0.08503310037780165,0.25,0.275,0.10875,False,False,8518.335657329506,17432.301272147793
7,treatment,policy_value,profit,0.029937500000000002,0.21584462047399264,0.05323628592737272,,9012.738069214045,11.265922586517556,0.08377114574387697,0.08732138416526976,0.25,0.275,0.11,False,False,9012.738069214045,26445.039341361837
8,treatment,policy_value,profit,0.0295,0.20694038534015305,0.07410282325993091,,8778.869887436595,10.973587359295744,0.08067812744879099,0.08699892211076855,0.25,0.2675,0.09125,False,False,8778.869887436595,35223.90922879843
9,treatment,policy_value,profit,0.03265625,0.22479351132772632,0.11101962904183034,31.522606852640244,7876.1470658591,9.845183832323874,0.07818007857839099,0.08232784099100002,0.25,0.27125,0.0925,False,False,7876.1470658591,43100.05629465753
10,treatment,policy_value,profit,0.02859375,0.22355944733308256,0.08291375575513589,34.25554381924295,9519.502859679487,11.899378574599359,0.0869730465062462,0.09089000399918282,0.25,0.27625,0.0925,False,False,9519.502859679487,52619.55915433702
11,treatment,policy_value,profit,0.032343750000000004,0.21734017579705076,0.11274442331185638,35.24262542439707,8799.695909058344,10.99961988632293,0.07869180147896979,0.08307265364852512,0.25,0.2775,0.10125,False,False,8799.695909058344,61419.255063395365
12,treatment,policy_value,profit,0.03040625,0.20067108273705764,0.09887338302014126,27.279990443002045,8486.05009324368,10.6075626165546,0.07956351905865276,0.08344538878329033,0.25,0.28,0.11375,False,False,8486.05009324368,69905.30515663905
13,treatment,policy_value,profit,0.033625,0.21269839061135223,0.1325974150847339,26.714799828266074,9027.417336686205,11.284271670857756,0.08345452621734886,0.08955236997716082,0.25,0.27125,0.08625,False,False,9027.417336686205,78932.72249332526
14,treatment,policy_value,profit,0.034468750000000006,0.21545611180911733,0.1344445109053318,16.669581187217954,-8413.72736828758,-10.517159210359475,-0.1440306005290134,0.08149410778326635,0.25,0.25875,0.09875,False,False,-8413.72736828758,70518.99512503768
15,treatment,policy_value,profit,0.03628125,0.2150439879208205,0.10754690203711754,1.891209729527612,-8604.95864524654,-10.756198306558174,-0.1451444952200363,0.07713336771855714,0.25,0.2675,0.08875,False,False,-8604.95864524654,61914.03647979114
16,treatment,policy_value,profit,0.029875,0.21274373236721675,0.1610174156744308,-7.710709294642132,-9313.838851293944,-11.64229856411743,-0.1450484484753077,0.0827848150586416,0.25,0.28125,0.10625,True,False,-9563.838851293944,52350.1976284972
17,treatment,policy_value,profit,0.051766218354430384,0.21750508501959195,0.07792960224516321,-10.039879068162737,-7785.508794213552,-9.73188599276694,-0.14686756952140492,-0.006107631693119748,0.25,0.2625,0.0975,False,True,-7785.508794213552,44564.68883428365
18,treatment,policy_value,profit,0.05159018987341772,0.213392764343323,0.18515663168424015,-21.077989996936306,-8392.400982292678,-10.490501227865847,-0.14146896656494484,0.01716396427415547,0.25,0.2825,0.0975,False,True,-8392.400982292678,36172.28785199097
19,treatment,policy_value,profit,0.057814477848101266,0.22840428871356758,0.1750738331463783,-12.842117641772825,-8316.730196649705,-10.395912745812131,-0.14468892322467228,0.008965788471140119,0.25,0.275,0.115,False,True,-8316.730196649705,27855.55765534127
20,treatment,policy_value,profit,0.049355221518987344,0.2270797861264148,0.19214742462118503,-5.263163352333548,-8350.062844849757,-10.437578556062197,-0.14282241793996836,0.015275077867494389,0.25,0.28125,0.12125,False,True,-8350.062844849757,19505.49481049151
21,treatment,policy_value,profit,0.04234572784810127,0.2174943908953949,0.1813019716564153,-4.301795905720085,-8157.65401137726,-10.197067514221574,-0.1444842299257587,0.007880525057857947,0.25,0.27875,0.105,True,False,-8407.65401137726,11097.840799114249
22,treatment,policy_value,profit,0.048205128205128206,0.20371579688275732,0.07082750671840148,0.5935052014213495,-5839.411408798294,-7.299264260997868,-0.14435813897851257,-0.1463433519100789,0.155,0.19875,0.095,False,False,-5839.411408798294,5258.429390315954
23,treatment,policy_value,profit,0.04833442599067599,0.20682060738630068,0.06554703474587781,7.7777618322644555,-5007.6369126035015,-6.259546140754377,-0.1423032732773685,-0.14319763342249434,0.1375,0.17875,0.10125,False,False,-5007.6369126035015,250.79247771245264
24,treatment,policy_value,profit,0.04900422494172495,0.20875813429705148,0.11969301131799392,0.813050579426611,-5190.351239345126,-6.487939049181407,-0.14112665373752198,-0.13916075358898722,0.1475,0.18125,0.1025,False,False,-5190.351239345126,-4939.558761632673
25,treatment,policy_value,profit,0.044509761072261074,0.20773627580579102,0.11566931362904322,1.3969185764002205,-5342.538398443936,-6.67817299805492,-0.1414575396940428,-0.13237401307462748,0.1675,0.18875,0.11125,False,False,-5342.538398443936,-10282.09716007661
26,treatment,policy_value,profit,0.047121576340326335,0.20410044347241005,0.12849530479728716,1.8033725947737393,-5604.92588028908,-7.00615735036135,-0.14150020042687345,-0.13853507892110908,0.1575,0.195,0.09375,False,False,-5604.92588028908,-15887.02304036569
27,treatment,policy_value,profit,0.044326923076923076,0.2098059363943789,0.15745186219246676,-1.642585062244797,-5528.524594477123,-6.910655743096404,-0.1425691961633953,-0.14054014999657638,0.16,0.19875,0.10375,True,False,-5778.524594477123,-21665.547634842813
