step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.032687499999999994,0.2177005399532873,,9.744065015445093,24.024670509049855,-37.343423922734175,56.831553953624365,49.261131438569805,78,8407.191543482348,10.508989429352935,0.07885743994421382,0.09694753018161524,0.25,0.2825,0.0975,False,False,False,8407.191543482348,8407.191543482348
6,treatment,policy_value_confident,profit,0.03328125,0.2154094709557418,0.21548705343847968,20.269160179276728,16.47215224353185,-12.015664965906335,52.55398532445979,47.36343954074691,163,8749.494913704037,10.936868642130046,0.07851417334977773,0.09865972433330267,0.25,0.26875,0.10625,False,False,False,8749.494913704037,17156.686457186384
7,treatment,policy_value_confident,profit,0.03696875,0.21975925652732614,0.16762150066571474,8.607357178072915,13.879028556381286,-18.595038932837333,35.80975328898317,31.436327637599717,224,8149.262924343612,10.186578655429516,0.07954365558234966,0.09988430050471699,0.25,0.2675,0.07625,False,False,False,8149.262924343612,25305.949381529997
8,treatment,policy_value_confident,profit,0.031093750000000003,0.21159507680498005,0.12222025574456498,15.719944502992645,15.361231141057985,-14.387515291676115,45.8274042976614,40.98692125980176,226,8692.624528141296,10.86578066017662,0.08257468242768347,0.09929589412945465,0.25,0.25875,0.1,False,False,False,8692.624528141296,33998.57390967129
9,treatment,policy_value_confident,profit,0.029906250000000002,0.22101754415886746,0.10117922678101235,7.228397001893884,15.465714160231,-23.08384574734999,37.54063975113776,32.66723303174457,232,9372.225480212106,11.715281850265132,0.08569943009407849,0.10367729129447179,0.25,0.27,0.11375,False,False,False,9372.225480212106,43370.799389883396
10,treatment,policy_value_confident,profit,0.02915625,0.21947967556839043,0.11571497816190274,10.366933369151894,14.777859044839476,-18.59713812734295,39.33100486564674,34.67434841763371,246,9162.12811779065,11.452660147238312,0.08239724053171575,0.09977647704134775,0.25,0.27125,0.09375,False,False,False,9162.12811779065,52532.927507674045
11,treatment,policy_value_confident,profit,0.03025,0.20886251886464371,0.1352549137978275,-2.3131853065297254,13.30077035811882,-28.38221617508052,23.75584556202107,19.56463505827064,241,9088.53533658047,11.360669170725586,0.08030185809354759,0.09941425460910064,0.25,0.2825,0.09375,False,False,False,9088.53533658047,61621.462844254514
12,treatment,policy_value_confident,profit,0.036593749999999994,0.21937855590767785,0.13027285175867442,-13.178529697458826,13.18225507123539,-39.01527487210067,12.658215477183015,8.504350367862136,252,9127.056906920181,11.408821133650227,0.08619012498699026,0.10591827879306422,0.25,0.2825,0.1275,False,False,False,9127.056906920181,70748.5197511747
13,treatment,policy_value_confident,profit,0.031281250000000003,0.2130387747730124,0.14221859563654515,-4.597669588979289,13.089326538530935,-30.252278186384245,21.056939008425665,16.93235664227547,244,8596.148989409587,10.745186236761983,0.08176450156816113,0.10013827904545906,0.25,0.26375,0.08375,False,False,False,8596.148989409587,79344.66874058428
14,treatment,policy_value_confident,profit,0.03578125,0.22198890852462047,0.21412710822259423,-12.596195367610077,12.080806506852861,-36.27414102523881,11.08175029001866,7.274963031685788,248,-9512.539970225862,-11.890674962782327,-0.14255689577917902,0.10121159455663951,0.25,0.28125,0.09875,False,False,False,-9512.539970225862,69832.12877035842
15,treatment,policy_value_confident,profit,0.028187499999999997,0.213128979044145,0.2998664228120658,-5.275211022053011,9.438181335026131,-23.773706518262387,13.223284474156365,10.249215778690404,222,-9426.287676207605,-11.782859595259506,-0.14322494670866484,0.1016708363312547,0.25,0.27625,0.095,False,False,False,-9426.287676207605,60405.84109415082
16,treatment,policy_value_confident,profit,0.037843749999999995,0.21171799270886063,0.34387499243741565,-10.415779475660429,9.421840722619965,-28.88224796006839,8.050689008747533,5.081769409500094,228,-8502.722451736074,-10.628403064670092,-0.14013636632370077,0.10426339575843896,0.25,0.265,0.09125,False,False,False,-8502.722451736074,51903.118642414745
17,treatment,policy_value_confident,profit,0.03809375,0.22179311598067364,0.3093357296028357,1.2888138430217397,8.630912429021537,-15.627463671579584,18.20509135762306,15.48540145579835,226,-9210.550525923747,-11.513188157404684,-0.14320642390080168,0.10402452218643728,0.25,0.27375,0.09625,False,False,False,-9210.550525923747,42692.568116491
18,treatment,policy_value_confident,profit,0.0393125,0.21605681691932024,0.29697940076737317,-11.069673660310473,10.443746180865594,-31.539040038484764,9.39969271786382,6.108760124246876,226,-8846.733612051565,-11.058417015064457,-0.14563793376005812,0.09597944764513841,0.25,0.26125,0.095,False,False,False,-8846.733612051565,33845.83450443944
19,treatment,policy_value_confident,profit,0.03484375000000001,0.21922296612724854,0.3253438171109741,-15.510898818520383,10.166260028254824,-35.43640233136898,4.414604694328217,1.2111108614863344,231,-9051.778591095705,-11.31472323886963,-0.14460965506962645,0.10354930204435073,0.25,0.2725,0.0975,False,False,False,-9051.778591095705,24794.055913343735
20,treatment,policy_value_confident,profit,0.033624999999999995,0.21427223849507482,0.25899039618304814,-18.173675781347026,12.170734735766661,-42.027877528840285,5.680525966146234,1.8454013914430263,240,-9675.425321663168,-12.09428165207896,-0.14608517327808854,0.09660279005546264,0.25,0.285,0.1075,False,False,False,-9675.425321663168,15118.630591680567
21,treatment,policy_value_confident,profit,0.029875,0.21504382316061085,0.272012327801204,-12.94531000423877,12.892821004837954,-38.214774832842664,12.32415482436512,8.261493387205054,241,-9047.521202922,-11.3094015036525,-0.14537253836445146,0.09831230956384257,0.25,0.26875,0.09625,False,False,False,-9047.521202922,6071.109388758567
22,treatment,policy_value_confident,profit,0.04009375,0.2190377981517645,0.34533642110784374,-17.00357357146162,11.604859161512264,-39.74867957368534,5.741532430762103,2.0847211106128434,263,-9120.732024505824,-11.40091503063228,-0.14551921841912355,0.09848771479717958,0.25,0.27625,0.125,False,False,False,-9120.732024505824,-3049.622635747257
23,treatment,policy_value_confident,profit,0.03175,0.2188340689052072,0.30334625737912735,-21.127470014248114,10.820374393434028,-42.33501412461823,0.08007409612200433,-3.329537948235327,264,-9172.81402101424,-11.466017526267798,-0.143122291505672,0.10068003236472886,0.25,0.27875,0.10875,True,True,False,-9422.81402101424,-12472.436656761496
24,treatment,policy_value_confident,profit,0.05025700934579439,0.20029236987613813,0.08353217011650232,-16.14978646734495,8.004084444125445,-31.837503707048114,-0.46206922764178415,-2.9842391389993583,277,-3494.036962820456,-4.3675462035255705,-0.14160466098913738,-0.1910902663604562,0.055,0.105,0.1125,True,True,False,-3744.036962820456,-16216.473619581953
25,treatment,policy_value_confident,profit,0.053082386363636366,0.2164910990463712,0.09862049716701157,-12.350712392801531,7.206174179292799,-26.474554250537896,1.7731294649348328,-0.4976106575477264,265,-2657.8407889341615,-3.322300986167702,-0.1423804706106538,-0.21412007204691136,0.03875,0.08625,0.11,True,True,False,-2907.8407889341615,-19124.314408516115
26,treatment,policy_value_confident,profit,0.06665087669683258,0.21290612329762118,0.07160116229431066,-2.9563277101312297,3.975335188775756,-10.747841506606447,4.835186086343986,3.5825167934743853,267,-2331.063686547779,-2.9138296081847237,-0.14203465565430812,-0.2209493717333887,0.0225,0.07875,0.11125,False,False,False,-2331.063686547779,-21455.378095063894
27,treatment,policy_value_confident,profit,0.052464649321266967,0.21284378310199847,0.12080620020871354,1.7660595018513316,4.2814453667444266,-6.625419218743626,10.15753822244629,8.808410441935475,265,-2282.9400280439227,-2.8536750350549034,-0.14236475891515382,-0.22611929847433768,0.0275,0.0775,0.11,False,False,False,-2282.9400280439227,-23738.318123107816
28,treatment,policy_value_confident,profit,0.06559671945701358,0.2165688044036299,0.12147035840149653,4.674257196930527,3.4368440906956175,-2.061833441312192,11.410347835173246,10.327362664777946,255,-2074.050626207936,-2.59256328275992,-0.14365435143889324,-0.22664685242477517,0.0225,0.0675,0.0975,False,False,False,-2074.050626207936,-25812.368749315752
29,treatment,policy_value_confident,profit,0.05203549208144796,0.21977718572810834,0.14258492100211725,2.6381773107264723,2.8368217010342716,-2.921891053862351,8.198245675315295,7.304333774687336,244,-2168.4870444074213,-2.7106088055092767,-0.14348483605294324,-0.22258880974077003,0.01625,0.06875,0.0975,False,False,False,-2168.4870444074213,-27980.855793723174
