step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.0296875,0.20873298880554025,,15.230796460652833,15.674960655137209,-10.552219425271218,41.013812346576884,35.31906682809394,79,8580.847556685803,10.726059445857254,0.08020046371273176,0.09618697428206978,0.25,0.275,0.09875,False,False,False,8580.847556685803,8580.847556685803
6,treatment,policy_value_confident,profit,0.03509375,0.21067659086990173,0.1442943707108609,26.88547655831461,12.691467267431431,6.009870592144139,47.76108252448508,43.150246303949416,173,9045.009463183711,11.306261828979638,0.0848761951789919,0.10003858871561082,0.25,0.285,0.1175,False,False,False,9045.009463183711,17625.857019869516
7,treatment,policy_value_confident,profit,0.034375,0.21623314036938232,0.12507765072626864,19.76688819451897,10.833721244273645,1.9470025124942545,37.58677387654369,33.65086061579166,251,9005.64410255137,11.257055128189213,0.08586172483008198,0.10504433607816394,0.25,0.27875,0.0975,False,False,False,9005.64410255137,26631.501122420887
8,treatment,policy_value_confident,profit,0.034125,0.21880703906957763,0.13220158127313505,32.59916118816125,11.683371973457414,13.381724422596648,51.81659795372585,47.5720048315855,250,9358.849907603173,11.698562384503965,0.08440541390672894,0.10211029783509992,0.25,0.2775,0.0975,False,False,False,9358.849907603173,35990.35103002406
9,treatment,policy_value_confident,profit,0.033593750000000006,0.21005806185455525,0.10781769358747822,20.587992800948445,12.409325296144337,0.1764690795647894,40.9995165223321,36.49118306157443,251,8152.992645405244,10.191240806756555,0.07710367680771678,0.09847249269453381,0.25,0.28125,0.11875,False,False,False,8152.992645405244,44143.34367542931
10,treatment,policy_value_confident,profit,0.029593750000000002,0.20721705602035026,0.09907117673627001,24.525780344780177,11.813449884816606,5.09438445493014,43.95717623463021,39.66532553914958,267,8586.171646229588,10.732714557786984,0.08169824690564287,0.10173401190444492,0.25,0.28625,0.1175,False,False,False,8586.171646229588,52729.515321658895
11,treatment,policy_value_confident,profit,0.032593750000000005,0.21471170895232924,0.08845974275908491,4.583342773294848,12.324306617931772,-15.68833766687225,24.855023213461948,20.37757721375699,266,8393.295189019898,10.491618986274872,0.08346349176649838,0.10140701230775112,0.25,0.27375,0.09625,False,False,False,8393.295189019898,61122.81051067879
12,treatment,policy_value_confident,profit,0.032093750000000004,0.20814448679553618,0.11254615446911191,9.460136623575998,10.705331327852829,-8.14856643875994,27.068839685911936,23.179570746459447,254,8860.021796453944,11.07502724556743,0.07992487960648423,0.09864483033532316,0.25,0.2775,0.10375,False,False,False,8860.021796453944,69982.83230713273
13,treatment,policy_value_confident,profit,0.031093750000000003,0.21026226001034304,0.16513001013568226,-4.448382305463248,10.860960967943681,-22.313073345763776,13.41630873483728,9.470499226323778,246,8624.999523233533,10.781249404041917,0.0789778109258504,0.09772199657588426,0.25,0.28875,0.1075,False,False,False,8624.999523233533,78607.83183036627
14,treatment,policy_value_confident,profit,0.03175,0.21538749202970345,0.17698352909999107,-4.737993611595738,9.453781565843757,-20.288080508580805,10.812093285389327,7.3775149544280145,253,-8916.890837094186,-11.146113546367733,-0.14378829617453756,0.09766227874162467,0.25,0.2775,0.105,False,False,False,-8916.890837094186,69690.94099327209
15,treatment,policy_value_confident,profit,0.0340625,0.22677332527720342,0.15932953377068085,-14.828424231269567,10.358757733323479,-31.867064459638293,2.2102159970991604,-1.5531420410316237,247,-8857.335053326175,-11.071668816657718,-0.146260708034968,0.09729340285358991,0.25,0.27,0.09625,True,True,False,-9107.335053326175,60583.60593994591
16,treatment,policy_value_confident,profit,0.05329622235872236,0.21683084011036005,0.19822761875398784,-5.621480910227102,10.8371959155913,-23.447081917971126,12.20412009751692,8.266944481512478,237,-8174.966702344105,-10.218708377930131,-0.14457123723083287,0.04124911184992234,0.25,0.25875,0.095,False,False,False,-8174.966702344105,52408.639237601805
17,treatment,policy_value_confident,profit,0.04376574017199017,0.2076223303540632,0.21226787918517784,0.4273381282708832,9.679578098880128,-15.494151015032125,16.348827271573892,12.83221659470194,227,-8575.980240208604,-10.719975300260755,-0.1457646730691865,0.04028027954668733,0.25,0.2675,0.0925,False,False,False,-8575.980240208604,43832.6589973932
18,treatment,policy_value_confident,profit,0.04781365171990172,0.2184125720626711,0.19092024003999064,-1.4312017272839384,9.097007560385356,-16.39444760738875,13.532044152820871,10.227082553498983,233,-9348.663367669642,-11.685829209587052,-0.14379418181908343,0.04512118007508328,0.25,0.2875,0.10375,False,False,False,-9348.663367669642,34483.995629723555
19,treatment,policy_value_confident,profit,0.054309351965601965,0.22138215674083583,0.17071681862633323,0.8003491657330065,7.599159335768675,-11.699155629488233,13.299853960954247,10.53906370931022,247,-8902.533453030263,-11.128166816287829,-0.14412453101094805,0.0470909057332001,0.25,0.27375,0.1125,False,False,False,-8902.533453030263,25581.46217669329
20,treatment,policy_value_confident,profit,0.04664887899262899,0.20515702980430908,0.20718308466190188,1.4265642852307807,8.171106705021183,-12.0137102147308,14.86683878519236,11.89825887528266,233,-8761.672336579282,-10.952090420724103,-0.14293397582997142,0.04516467209821783,0.25,0.27625,0.075,False,False,False,-8761.672336579282,16819.78984011401
