step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.02725,0.2150226447746502,0.01556802492292051,,9515.618318628716,11.894522898285896,0.08090863255200052,0.08828897025936666,0.25,0.2925,0.11375,False,9515.618318628716,9515.618318628716
6,treatment,policy_value,profit,0.03959375,0.2182332895875013,0.02667644833282595,,9317.457505860548,11.646821882325685,0.08284353854306921,0.08933624306397034,0.25,0.28,0.10625,False,9317.457505860548,18833.075824489264
7,treatment,policy_value,profit,0.031375,0.20814888209963223,0.044735925349437315,,8401.95769498693,10.502447118733663,0.07899786249531393,0.08372145556719911,0.25,0.26125,0.0975,False,8401.95769498693,27235.033519476194
8,treatment,policy_value,profit,0.03275,0.21641116924795278,0.05783105829306167,,9166.770760064035,11.458463450080044,0.07952738427061683,0.08375740185906189,0.25,0.27125,0.09125,False,9166.770760064035,36401.80427954023
9,treatment,policy_value,profit,0.030406250000000003,0.22185621044599393,0.15903263408162133,12.227957625535403,9193.276701436835,11.491595876796044,0.08298445687926113,0.08937380178248862,0.25,0.26,0.0875,False,9193.276701436835,45595.080980977065
10,treatment,policy_value,profit,0.03790625,0.2064572924694167,0.14713886215269625,16.851041871106247,9297.453286826241,11.621816608532802,0.08288568839117541,0.08806105443905939,0.25,0.28125,0.1025,False,9297.453286826241,54892.534267803305
11,treatment,policy_value,profit,0.038093749999999996,0.21792884197875062,0.12147065094678716,10.782338909727713,9772.774357114697,12.21596794639337,0.0849642936604888,0.0907884174566871,0.25,0.2775,0.09625,False,9772.774357114697,64665.308624918005
12,treatment,policy_value,profit,0.03421875,0.2146832254125716,0.1815692214971778,10.265306865350876,9393.700822042845,11.742126027553557,0.08188724534293172,0.08746253024665002,0.25,0.26875,0.07625,False,9393.700822042845,74059.00944696084
13,treatment,policy_value,profit,0.032187499999999994,0.21382043140860665,0.15914127932202382,15.229846308298796,9160.292073432816,11.45036509179102,0.08200945556429576,0.08747508697264086,0.25,0.27625,0.115,False,9160.292073432816,83219.30152039367
14,treatment,policy_value,profit,0.031875,0.21314333733578855,0.14666850215639402,16.38460868443392,-9012.354736423755,-11.265443420529694,-0.1456951567031591,0.08412268343351549,0.25,0.2625,0.08625,False,-9012.354736423755,74206.9467839699
15,treatment,policy_value,profit,0.02834375,0.2196964104567975,0.10898395116861122,8.129331365100526,-9037.491554770797,-11.296864443463496,-0.14396453736978246,0.08744930894381742,0.25,0.27,0.11,False,-9037.491554770797,65169.45522919911
16,treatment,policy_value,profit,0.0366875,0.21250838507320624,0.13471400436745004,3.5421617488071724,-8712.327155666022,-10.890408944582527,-0.1426422186973872,0.09072115019198249,0.25,0.27,0.10375,False,-8712.327155666022,56457.128073533095
17,treatment,policy_value,profit,0.031718750000000004,0.22126717000176072,0.13397095589392527,6.5771681822847,-9287.888764399728,-11.60986095549966,-0.14128586184188102,0.09142421593689351,0.25,0.28,0.09875,False,-9287.888764399728,47169.239309133365
18,treatment,policy_value,profit,0.0315625,0.22106962188344886,0.16794423577208273,-5.520026864766555,-9059.705802578115,-11.324632253222644,-0.14527720665257374,0.08413520294351894,0.25,0.2675,0.085,True,-9309.705802578115,37859.53350655525
19,treatment,policy_value,profit,0.031290963500784925,0.20517322549444827,0.1966610987111736,-0.09354173821222922,-9270.884354272375,-11.58860544284047,-0.14573857024663067,0.07375036689676712,0.25,0.2775,0.1075,True,-9520.884354272375,28338.649152282873
20,treatment,policy_value,profit,0.03839209040910845,0.20716410705470176,0.2045839763360897,3.1999719368312824,-8335.464779849666,-10.419330974812082,-0.1401457397567166,0.07945738616540224,0.25,0.27625,0.10125,False,-8335.464779849666,20003.184372433207
21,treatment,policy_value,profit,0.03504649507912003,0.21038160165748276,0.17547635365714429,5.8086235173873915,-9628.388376378574,-12.035485470473217,-0.14165544967870464,0.07633187538595088,0.25,0.29625,0.10625,False,-9628.388376378574,10374.795996054632
22,treatment,policy_value,profit,0.03445013990737167,0.2205052369798434,0.18682071369638423,-4.108270880199752,-8461.908060317252,-10.577385075396565,-0.1423106579241726,0.07560270349316547,0.25,0.26875,0.08875,True,-8711.908060317252,1662.8879357373808
23,treatment,policy_value,profit,0.03756274220335855,0.2067355207623175,0.19081889724153564,-10.866923004584871,-8871.874813426475,-11.089843516783095,-0.14410147541305765,0.06432305927081536,0.25,0.27625,0.11375,True,-9121.874813426475,-7458.986877689094
24,treatment,policy_value,profit,0.040218636569872956,0.2180478769548489,0.1555299139811062,-8.125149929681161,-9410.018517547232,-11.76252314693404,-0.1459729435004442,0.05677050770445076,0.25,0.28625,0.095,True,-9660.018517547232,-17119.005395236327
