drift_type,trigger,policy,seed,steps_evaluated,retrainings,final_cumulative_net_value,mean_oracle_value_per_customer,mean_feature_drift,mean_brier,mean_cate_shift
covariate,never,profit,2,25,0,316013.56144853134,15.80067807242657,0.14050875000000002,0.2545755820252472,0.11020341287043511
covariate,periodic,profit,2,25,5,315133.9263853426,15.81919631926713,0.13052299804379963,0.250745210428815,0.10589094855690132
covariate,feature_drift,profit,2,25,9,314545.05807670386,15.839752903835192,0.12888783071261256,0.250088643352301,0.10619003856825492
covariate,performance,profit,2,25,3,315665.65590698755,15.820782795349375,0.13159801188387746,0.2508176434949735,0.10804197985424821
covariate,cate_shift,profit,2,25,20,311552.95251360605,15.827647625680305,0.1279701906624698,0.24975276779484976,0.10344988166138841
covariate,policy_value,profit,2,25,1,315842.17375673255,15.80460868783663,0.13913272810982755,0.25429252640899547,0.10982527107779319
outcome,never,profit,2,25,0,161073.26629521837,8.05366331476092,0.033561249999999994,0.2581304142234546,0.131732825987185
outcome,periodic,profit,2,25,5,159556.22333044387,8.040311166522194,0.03298011691496201,0.25644983521366416,0.12758457926749528
outcome,feature_drift,profit,2,25,0,161073.26629521837,8.05366331476092,0.033561249999999994,0.2581304142234546,0.131732825987185
outcome,performance,profit,2,25,12,157866.61271479033,8.043330635739519,0.033015507483889366,0.2566550458451877,0.12742926660086493
outcome,cate_shift,profit,2,25,21,155541.02558007304,8.039551279003653,0.03306340222548897,0.25634183322268295,0.12530336599185948
outcome,policy_value,profit,2,25,1,160845.66382334044,8.054783191167022,0.033204886429537984,0.25682436763855737,0.13061043693888053
treatment,never,profit,2,25,0,-59651.60770188888,-2.9825803850944452,0.033561249999999994,0.2584017467910086,0.11935684684586943
treatment,periodic,profit,2,25,5,-64246.06043595201,-3.1498030217975996,0.03298011691496201,0.25695606776495267,0.11493483323638745
treatment,feature_drift,profit,2,25,0,-59651.60770188888,-2.9825803850944452,0.033561249999999994,0.2584017467910086,0.11935684684586943
treatment,performance,profit,2,25,15,-66048.1295054905,-3.114906475274526,0.03304007867211244,0.2569238759357119,0.11463279829232988
treatment,cate_shift,profit,2,25,20,-67427.30602564683,-3.121365301282341,0.03306340222548897,0.2566815511491943,0.11273200891289324
treatment,policy_value,profit,2,25,7,-63462.15622141188,-3.085607811070596,0.03304988955919909,0.2569505341141597,0.11699746354855932
gradual_treatment,never,profit,2,25,0,-1506.673743199226,-0.0753336871599619,0.033561249999999994,0.25580359792547686,0.1028225319631284
gradual_treatment,periodic,profit,2,25,5,-5026.363621117771,-0.1888181810558882,0.03298011691496201,0.25504321606118496,0.09827984186702303
gradual_treatment,feature_drift,profit,2,25,0,-1506.673743199226,-0.0753336871599619,0.033561249999999994,0.25580359792547686,0.1028225319631284
gradual_treatment,performance,profit,2,25,10,-5714.920102713217,-0.1607460051356613,0.0332624185700207,0.25533045917171227,0.09984881748493667
gradual_treatment,cate_shift,profit,2,25,19,-8024.994414032639,-0.16374972070163119,0.03306314068660746,0.25488149291658474,0.09632879174285397
gradual_treatment,policy_value,profit,2,25,4,-2907.3260309903253,-0.09536630154951688,0.033415581719502624,0.2556045898772938,0.10102013800172674
none,never,profit,3,25,0,205006.198563576,10.2503099281788,0.03152125,0.24468075309808146,0.0894120579854484
none,periodic,profit,3,25,5,203159.9687489812,10.22049843744906,0.03152632859187429,0.24569171687523522,0.08785142413062268
none,feature_drift,profit,3,25,0,205006.198563576,10.2503099281788,0.03152125,0.24468075309808146,0.0894120579854484
none,performance,profit,3,25,0,205006.198563576,10.2503099281788,0.03152125,0.24468075309808146,0.0894120579854484
none,cate_shift,profit,3,25,16,200727.64098945682,10.236382049472839,0.0314899874311706,0.24587125549780153,0.08600791921769196
none,policy_value,profit,3,25,0,205006.198563576,10.2503099281788,0.03152125,0.24468075309808146,0.0894120579854484
covariate,never,profit,3,25,0,295551.5327224583,14.777576636122914,0.137795,0.26898594451144325,0.09139587977875074
covariate,periodic,profit,3,25,5,294379.02162957157,14.781451081478574,0.12853112871844158,0.261683981535388,0.09062647601214477
covariate,feature_drift,profit,3,25,7,294600.2054028458,14.817510270142288,0.12767754241726667,0.2611326526817647,0.09020725838351243
covariate,performance,profit,3,25,15,292775.90805382957,14.826295402691478,0.125742722988354,0.2605613231416233,0.08895072714682106
covariate,cate_shift,profit,3,25,17,290925.7543626521,14.758787718132602,0.126041126445938,0.2607150265364939,0.08843067413975957
covariate,policy_value,profit,3,25,1,295642.1054781292,14.794605273906457,0.133069741644679,0.2663581731566243,0.09044417520699709
outcome,never,profit,3,25,0,144502.5352398046,7.225126761990229,0.03152125,0.256046853929841,0.1308231390740188
outcome,periodic,profit,3,25,5,141760.7658594341,7.150538292971706,0.03152632859187429,0.2563497137011327,0.12922461098027133
outcome,feature_drift,profit,3,25,0,144502.5352398046,7.225126761990229,0.03152125,0.256046853929841,0.1308231390740188
outcome,performance,profit,3,25,12,141582.80547064389,7.229140273532194,0.031441198640203276,0.25604341925972357,0.12796977638877213
outcome,cate_shift,profit,3,25,20,138574.3815900306,7.178719079501531,0.03149838001040108,0.2561565654398916,0.1272719164219266
outcome,policy_value,profit,3,25,5,143431.77151313855,7.2340885756569255,0.03147664587744363,0.25587517748122,0.12943174056711626
treatment,never,profit,3,25,0,-60157.702197607076,-3.007885109880355,0.03152125,0.2556805921510815,0.12336336288082599
treatment,periodic,profit,3,25,5,-59764.60420685464,-2.9257302103427327,0.03152632859187429,0.2557531978314818,0.12021767001280531
treatment,feature_drift,profit,3,25,0,-60157.702197607076,-3.007885109880355,0.03152125,0.2556805921510815,0.12336336288082599
treatment,performance,profit,3,25,10,-60584.6816529188,-2.904234082645941,0.03144932496791171,0.25567059612064835,0.11920456597889141
treatment,cate_shift,profit,3,25,19,-63579.81583711516,-2.9414907918557587,0.03149838001040108,0.2557545421531098,0.11836543083607869
treatment,policy_value,profit,3,25,12,-61896.77959397261,-2.944838979698632,0.03149146283579089,0.2556202519839568,0.11999691053674877
gradual_treatment,never,profit,3,25,0,-5796.985618496472,-0.289849280924824,0.03152125,0.2533739879064886,0.10428352618001281
gradual_treatment,periodic,profit,3,25,5,-6615.952045283284,-0.26829760226416366,0.03152632859187429,0.25369507683870013,0.10124179069180185
gradual_treatment,feature_drift,profit,3,25,0,-5796.985618496472,-0.289849280924824,0.03152125,0.2533739879064886,0.10428352618001281
gradual_treatment,performance,profit,3,25,7,-6089.863931293314,-0.21699319656466684,0.031539539616301834,0.2533112581252347,0.10167820739015893
gradual_treatment,cate_shift,profit,3,25,18,-10163.114491574517,-0.28315572457872606,0.03149332714781758,0.2537285332133823,0.09962544369184302
gradual_treatment,policy_value,profit,3,25,9,-7108.853798486616,-0.24294268992433174,0.03146196080141297,0.25329083338511815,0.10249815254816638
