strategy,seed,net_value,decision_value,retraining_cost_total,retrainings,false_alarm,detected,missed_detection,detection_delay,recovered,missed_recovery,recovery_step
conf_80,27,6782.534130779566,8782.534130779566,2000.0,8,False,True,False,3.0,True,False,19.0
conf_80,28,-23340.544270644084,-21840.544270644084,1500.0,6,False,True,False,4.0,True,False,24.0
conf_80,29,-3183.9868564407016,-933.9868564407016,2250.0,9,False,True,False,2.0,True,False,19.0
conf_90,0,-30544.821141466335,-29794.821141466335,750.0,3,False,True,False,1.0,True,False,24.0
conf_90,1,-16685.925627204422,-14435.925627204422,2250.0,9,True,True,False,0.0,True,False,19.0
conf_90,2,-6643.941961871542,-4893.941961871542,1750.0,7,False,True,False,1.0,True,False,19.0
conf_90,3,-17631.28461128928,-15381.28461128928,2250.0,9,False,True,False,7.0,True,False,22.0
conf_90,4,-34362.77342606392,-32612.77342606392,1750.0,7,True,True,False,7.0,True,False,22.0
conf_90,5,-23808.72842989893,-22808.72842989893,1000.0,4,False,True,False,2.0,True,False,24.0
conf_90,6,-9993.87062752073,-9493.87062752073,500.0,2,False,True,False,3.0,True,False,19.0
conf_90,7,-31734.177773605716,-30734.177773605716,1000.0,4,False,True,False,9.0,True,False,24.0
conf_90,8,-9203.051269901682,-7953.051269901682,1250.0,5,True,True,False,1.0,True,False,19.0
conf_90,9,-21070.699717889394,-19570.699717889394,1500.0,6,False,True,False,2.0,True,False,19.0
conf_90,10,-8058.830600053049,-4558.830600053049,3500.0,14,False,True,False,1.0,True,False,17.0
conf_90,11,-17977.85698072947,-17727.85698072947,250.0,1,False,True,False,5.0,True,False,20.0
conf_90,12,-29088.750090338675,-27588.750090338675,1500.0,6,False,True,False,0.0,True,False,24.0
conf_90,13,-37861.27186739852,-36861.27186739852,1000.0,4,False,True,False,1.0,True,False,24.0
conf_90,14,-32796.71152275342,-32046.711522753423,750.0,3,True,True,False,7.0,True,False,24.0
conf_90,15,-11452.970724683,-10452.970724683,1000.0,4,False,True,False,3.0,True,False,22.0
conf_90,16,2873.7328001453234,4373.732800145323,1500.0,6,False,True,False,1.0,True,False,17.0
conf_90,17,-10334.082605660587,-8334.082605660587,2000.0,8,False,True,False,5.0,True,False,20.0
conf_90,18,20356.553132134537,21606.553132134537,1250.0,5,False,True,False,0.0,True,False,16.0
conf_90,19,-1741.752481625609,-1491.752481625609,250.0,1,False,True,False,3.0,True,False,18.0
conf_90,20,-29685.153715889883,-28185.153715889883,1500.0,6,False,True,False,2.0,True,False,25.0
conf_90,21,-29090.547021784216,-27590.547021784216,1500.0,6,False,True,False,0.0,True,False,23.0
conf_90,22,503.3950753417207,2003.3950753417207,1500.0,6,False,True,False,1.0,True,False,19.0
conf_90,23,-1260.213267445186,-1010.2132674451859,250.0,1,False,True,False,4.0,True,False,19.0
conf_90,24,-36410.33448563268,-35160.33448563268,1250.0,5,False,True,False,6.0,True,False,25.0
conf_90,25,-2675.543702883676,-1425.543702883676,1250.0,5,True,True,False,2.0,True,False,18.0
conf_90,26,3564.0525684981303,5314.05256849813,1750.0,7,False,True,False,4.0,True,False,19.0
conf_90,27,4654.615147321174,6154.615147321174,1500.0,6,False,True,False,4.0,True,False,19.0
conf_90,28,-71258.39086971863,-71258.39086971863,0.0,0,False,False,True,,False,True,
conf_90,29,4930.84205528851,5930.84205528851,1000.0,4,False,True,False,3.0,True,False,20.0
conf_95,0,-31226.478806124203,-30726.478806124203,500.0,2,False,True,False,9.0,True,False,24.0
conf_95,1,-18871.26951684645,-17871.26951684645,1000.0,4,True,True,False,0.0,False,True,
conf_95,2,-6654.345450899507,-5154.345450899507,1500.0,6,False,True,False,2.0,True,False,19.0
conf_95,3,-17844.499708209165,-15844.499708209165,2000.0,8,False,True,False,7.0,True,False,22.0
conf_95,4,-34518.31420761468,-33518.31420761468,1000.0,4,True,True,False,7.0,True,False,22.0
conf_95,5,-54261.248444616765,-54011.248444616765,250.0,1,False,True,False,4.0,False,True,
conf_95,6,-61756.11692201886,-61506.11692201886,250.0,1,False,True,False,3.0,False,True,
conf_95,7,-31734.177773605716,-30734.177773605716,1000.0,4,False,True,False,9.0,True,False,24.0
conf_95,8,-32466.297670065982,-31716.297670065982,750.0,3,False,True,False,11.0,True,False,26.0
conf_95,9,-24829.16825803891,-23829.16825803891,1000.0,4,False,True,False,2.0,True,False,19.0
conf_95,10,-5392.309444685581,-4642.309444685581,750.0,3,False,True,False,2.0,True,False,17.0
conf_95,11,-27980.855793723174,-27230.855793723174,750.0,3,False,True,False,9.0,True,False,24.0
conf_95,12,-32375.535442482982,-31625.535442482982,750.0,3,False,True,False,2.0,True,False,24.0
conf_95,13,-44796.518722842746,-44046.518722842746,750.0,3,False,True,False,1.0,True,False,25.0
conf_95,14,-74715.60371616446,-74465.60371616446,250.0,1,True,False,True,,False,True,
conf_95,15,-61201.03932929992,-60701.03932929992,500.0,2,False,True,False,13.0,True,False,28.0
conf_95,16,-4736.533068276245,-3486.533068276245,1250.0,5,False,True,False,1.0,True,False,17.0
conf_95,17,1824.9453591703568,2324.945359170357,500.0,2,False,True,False,5.0,True,False,20.0
conf_95,18,-12427.849951461405,-11427.849951461405,1000.0,4,False,True,False,0.0,True,False,16.0
conf_95,19,2869.411664357795,4619.4116643577945,1750.0,7,False,True,False,5.0,True,False,20.0
conf_95,20,-30042.09023620979,-28792.09023620979,1250.0,5,False,True,False,2.0,True,False,25.0
conf_95,21,-36787.07408334362,-36287.07408334362,500.0,2,False,True,False,8.0,True,False,23.0
conf_95,22,-1151.8926474837997,-151.8926474837997,1000.0,4,False,True,False,2.0,True,False,20.0
conf_95,23,-64434.632620169,-64434.632620169,0.0,0,False,False,True,,False,True,
conf_95,24,-36410.33448563268,-35160.33448563268,1250.0,5,False,True,False,6.0,True,False,25.0
conf_95,25,-2591.5142209602923,-2091.5142209602923,500.0,2,False,True,False,2.0,True,False,18.0
conf_95,26,-3008.379718764862,-2008.379718764862,1000.0,4,False,True,False,5.0,True,False,20.0
conf_95,27,-1416.7285427470465,-166.7285427470465,1250.0,5,False,True,False,5.0,True,False,20.0
conf_95,28,-71258.39086971863,-71258.39086971863,0.0,0,False,False,True,,False,True,
conf_95,29,-11937.268575827056,-11187.268575827056,750.0,3,False,True,False,4.0,True,False,19.0
