step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.02725,0.2150226447746502,,20.09442421214424,22.43617885076544,-8.658695918892867,48.84754434318135,38.97718873318799,91,9515.618318628716,11.894522898285896,0.08090863255200052,0.08828897025936666,0.25,0.2925,0.11375,False,False,False,9515.618318628716,9515.618318628716
6,treatment,policy_value_confident,profit,0.03959375,0.2182332895875013,0.18561226807934791,23.40788811190328,14.285937897847807,5.099722033643481,41.71605419016308,35.431236788236,176,9317.457505860548,11.646821882325685,0.08284353854306921,0.08933624306397034,0.25,0.28,0.10625,False,False,False,9317.457505860548,18833.075824489264
7,treatment,policy_value_confident,profit,0.031375,0.20814888209963223,0.19584601294513349,22.39341181918424,11.782237690715942,7.293866661028627,37.49295697733986,32.30959323869388,254,8401.95769498693,10.502447118733663,0.07899786249531393,0.08372145556719911,0.25,0.26125,0.0975,False,False,False,8401.95769498693,27235.033519476194
8,treatment,policy_value_confident,profit,0.03275,0.21641116924795278,0.21536609425344017,21.687947163886097,11.354324006333776,7.136795457868404,36.23909886990379,31.243987340483287,236,9166.770760064035,11.458463450080044,0.07952738427061683,0.08375740185906189,0.25,0.27125,0.09125,False,False,False,9166.770760064035,36401.80427954023
9,treatment,policy_value_confident,profit,0.030406250000000003,0.22185621044599393,0.1800963159556397,3.3244835730433184,14.565339579500117,-15.341750167753792,21.990717313840427,15.582982637350602,221,9193.276701436835,11.491595876796044,0.08298445687926113,0.08937380178248862,0.25,0.26,0.0875,False,False,False,9193.276701436835,45595.080980977065
10,treatment,policy_value_confident,profit,0.03790625,0.2064572924694167,0.211649474844392,11.906089987651347,15.144029769797394,-7.50176507248654,31.313945047789232,24.651627003773168,225,9297.453286826241,11.621816608532802,0.08288568839117541,0.08806105443905939,0.25,0.28125,0.1025,False,False,False,9297.453286826241,54892.534267803305
11,treatment,policy_value_confident,profit,0.038093749999999996,0.21792884197875062,0.23509969695814556,5.54641466990945,14.399744443314855,-12.907600364862866,24.000429704681764,17.665545351426818,229,9772.774357114697,12.21596794639337,0.0849642936604888,0.0907884174566871,0.25,0.2775,0.09625,False,False,False,9772.774357114697,64665.308624918005
12,treatment,policy_value_confident,profit,0.03421875,0.2146832254125716,0.23165344226278708,20.726062803898227,13.91389580053101,2.8946878579032678,38.55743774989318,32.43629295134613,220,9393.700822042845,11.742126027553557,0.08188724534293172,0.08746253024665002,0.25,0.26875,0.07625,False,False,False,9393.700822042845,74059.00944696084
13,treatment,policy_value_confident,profit,0.032187499999999994,0.21382043140860665,0.11584040171623312,19.12153293242623,15.507935703958072,-0.7526863473462448,38.99575221219871,32.17334090976087,230,9160.292073432816,11.45036509179102,0.08200945556429576,0.08747508697264086,0.25,0.27625,0.115,False,False,False,9160.292073432816,83219.30152039367
14,treatment,policy_value_confident,profit,0.031875,0.21314333733578855,0.1517845396105248,12.97278375097009,17.1465173789333,-9.001362439639584,34.94692994157976,27.403656858907347,222,-9012.354736423755,-11.265443420529694,-0.1456951567031591,0.08412268343351549,0.25,0.2625,0.08625,False,False,False,-9012.354736423755,74206.9467839699
15,treatment,policy_value_confident,profit,0.02834375,0.2196964104567975,0.18280154014869118,8.428173065835733,15.137836833574793,-10.971745427190765,27.82809155886223,21.16849797533445,249,-9037.491554770797,-11.296864443463496,-0.14396453736978246,0.08744930894381742,0.25,0.27,0.11,False,False,False,-9037.491554770797,65169.45522919911
16,treatment,policy_value_confident,profit,0.0366875,0.21250838507320624,0.16739170545541543,-13.148344846165221,11.768791320360148,-28.230657787340476,1.9339680950100337,-3.243480177461505,240,-8712.327155666022,-10.890408944582527,-0.1426422186973872,0.09072115019198249,0.25,0.27,0.10375,True,True,False,-8962.327155666022,56207.128073533095
17,treatment,policy_value_confident,profit,0.0583210082697201,0.2252255094254668,0.1384719924941681,-3.4817062460142534,10.379840718600757,-16.784007369040644,9.82059487701214,5.254188103864882,250,-8582.446864876769,-10.728058581095961,-0.14128586184188102,0.02368946882981909,0.25,0.285,0.09875,False,False,False,-8582.446864876769,47624.68120865633
18,treatment,policy_value_confident,profit,0.04764790076335878,0.22935269339812678,0.20930563551016299,-13.734839860309979,10.059764510981577,-26.62694681836843,-0.8427329022515266,-5.268328443124638,230,-8095.740388610481,-10.119675485763102,-0.14527720665257374,0.010361816711906533,0.25,0.2675,0.085,True,True,False,-8345.74038861048,39278.94082004585
19,treatment,policy_value_confident,profit,0.05275274547803618,0.20669630793813432,0.10383298298593648,-3.563692485434038,9.97588674974449,-16.348305767264726,9.22092079639665,4.8322256268696115,233,-6476.780314568386,-8.095975393210482,-0.14573857024663067,-0.07145173562473049,0.17,0.205,0.1075,False,False,False,-6476.780314568386,32802.16050547746
20,treatment,policy_value_confident,profit,0.058997496770025845,0.19412638528504544,0.13045980286318237,-5.7336554771160975,9.70299078540739,-18.168538508619772,6.701227554387578,2.4325875970450914,235,-6337.161985828421,-7.921452482285527,-0.1401457397567166,-0.06803553429980438,0.18875,0.21875,0.10125,False,False,False,-6337.161985828421,26464.99851964904
21,treatment,policy_value_confident,profit,0.06269056847545221,0.21187959367291043,0.16986641314487455,1.1724883608287546,8.263461388337939,-9.41756351821309,11.7625402398706,8.127192928063879,252,-6681.07952715677,-8.351349408945962,-0.14165544967870464,-0.07356084731248504,0.17,0.2125,0.10625,False,False,False,-6681.07952715677,19783.918992492272
22,treatment,policy_value_confident,profit,0.05716448643410853,0.21207688856950682,0.1333122191438237,1.557435162143858,8.008934945013054,-8.706427954982482,11.821298279270197,8.297924870170966,237,-6043.93545022259,-7.554919312778237,-0.1423106579241726,-0.07173336685982892,0.17875,0.20375,0.08875,False,False,False,-6043.93545022259,13739.983542269681
23,treatment,policy_value_confident,profit,0.0711345284237726,0.20029695557830135,0.14683568693403412,-5.7529783357996545,6.562225300138008,-14.162808442647904,2.656851771048596,-0.23007018371411547,247,-6289.458962606217,-7.861823703257771,-0.14410147541305765,-0.08051833494889685,0.16875,0.20875,0.11375,True,True,False,-6539.458962606217,7200.5245796634645
24,treatment,policy_value_confident,profit,0.053651117149758454,0.21972453403110084,0.14843446280113995,-3.5033254470502717,5.369120738593679,-10.384130535192984,3.3774796410924397,1.0154405721668578,238,-4629.9181474483585,-5.787397684310448,-0.1459729435004442,-0.11337398752822901,0.0875,0.1325,0.095,False,False,False,-4629.9181474483585,2570.606432215106
