budget_fraction,first_policy,second_policy,n_partitions,mean_difference,median_difference,sd_across_partitions,min_difference,max_difference
0.1,risk,random,10,0.00440882654607354,0.00446334032578485,0.0018499196942453082,0.001450027104005,0.0069998474526
0.1,risk,uplift,10,0.0019604822942801,0.0016499738404627,0.0009483899245455794,0.0009587716169491,0.0039676018995631
0.1,uplift,random,10,0.0024483442517933903,0.0027640445224384504,0.0011350238596966713,0.0001980578579582,0.0039280528813784
0.25,risk,random,10,0.00564124099029449,0.005553971299791851,0.000940168134006655,0.0039622235731773,0.0071103203051209
0.25,risk,uplift,10,0.00324221497551355,0.0031829007635909,0.0013490056578304532,0.0008165250980566,0.0053107017845194
0.25,uplift,random,10,0.0023990260147808704,0.0025366906502087,0.0015332628237915416,0.000233869226751,0.0045743001450933
0.5,risk,random,10,0.004670006057320169,0.0048898950037016,0.0012456156870679106,0.0018041778099089,0.0058943362749036
0.5,risk,uplift,10,0.00500319450977159,0.00501858724736165,0.0014162395486694232,0.0031293110066214,0.0080635557965434
0.5,uplift,random,10,-0.0003331884524514249,-3.045906774042466e-05,0.0012603884567856994,-0.0026740874516789,0.0014303664734854
